Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
29.06.2023;32.550,00;32.550,00;32.550,00;32.550,00;0,52K;5,00%
28.06.2023;31.000,00;31.000,00;31.000,00;31.000,00;0,35K;-5,34%
27.06.2023;32.750,00;32.750,00;32.750,00;31.000,00;2,43K;-0,03%
26.06.2023;32.760,00;30.310,00;32.760,00;30.300,00;3,87K;5,00%
23.06.2023;31.200,00;31.200,00;31.200,00;30.800,00;2,18K;-2,50%
21.06.2023;32.000,00;32.340,00;32.340,00;32.000,00;4,05K;-1,23%
16.06.2023;32.400,00;32.450,00;32.450,00;32.400,00;2,89K;-0,92%
15.06.2023;32.700,00;32.700,00;32.700,00;32.700,00;1,34K;-0,91%
14.06.2023;33.000,00;33.390,00;33.390,00;33.000,00;1,37K;-0,54%
09.06.2023;33.180,00;32.350,00;33.180,00;32.320,00;2,94K;-2,90%
07.06.2023;34.170,00;34.000,00;34.170,00;33.970,00;16,77K;-0,64%
06.06.2023;34.390,00;33.100,00;34.390,00;33.100,00;16,54K;2,50%
05.06.2023;33.550,00;33.000,00;33.550,00;32.400,00;230,85K;1,82%
02.06.2023;32.950,00;32.000,00;32.950,00;32.000,00;4,36K;1,38%
01.06.2023;32.500,00;32.010,00;32.500,00;32.000,00;16,53K;-3,85%
31.05.2023;33.800,00;34.450,00;34.450,00;33.800,00;22,39K;-2,17%
30.05.2023;34.550,00;32.090,00;34.550,00;32.090,00;0,98K;-0,72%
29.05.2023;34.800,00;34.800,00;34.800,00;34.800,00;0,84K;2,93%
24.05.2023;33.810,00;33.810,00;33.810,00;33.810,00;0,48K;-5,98%
23.05.2023;35.960,00;35.950,00;35.960,00;35.950,00;1,21K;-0,08%
18.05.2023;35.990,00;35.990,00;35.990,00;35.990,00;1,37K;-0,83%
15.05.2023;36.290,00;36.290,00;36.290,00;36.290,00;0,99K;-0,55%
12.05.2023;36.490,00;34.500,00;36.490,00;34.500,00;13,01K;-0,27%
11.05.2023;36.590,00;36.000,00;36.590,00;36.000,00;1,65K;1,30%
10.05.2023;36.120,00;35.760,00;36.120,00;35.760,00;10,45K;1,01%
09.05.2023;35.760,00;35.760,00;35.760,00;35.760,00;0,80K;-3,35%
08.05.2023;37.000,00;37.000,00;37.000,00;37.000,00;11,51K;0,03%
05.05.2023;36.990,00;37.000,00;37.000,00;36.990,00;6,53K;0,00%
04.05.2023;36.990,00;36.990,00;37.000,00;36.010,00;9,09K;0,00%
03.05.2023;36.990,00;35.900,00;36.990,00;35.410,00;32,79K;1,34%
02.05.2023;36.500,00;33.970,00;36.500,00;33.970,00;19,76K;6,73%
28.04.2023;34.200,00;34.100,00;34.400,00;34.100,00;20,33K;0,29%
27.04.2023;34.100,00;31.110,00;34.100,00;31.110,00;34,46K;3,02%
26.04.2023;33.100,00;33.100,00;33.100,00;33.100,00;0,89K;-2,62%
25.04.2023;33.990,00;33.600,00;33.990,00;33.600,00;4,73K;1,16%
24.04.2023;33.600,00;34.020,00;34.020,00;33.600,00;3,20K;-1,21%
21.04.2023;34.010,00;35.000,00;35.000,00;34.010,00;3,09K;-4,44%
20.04.2023;35.590,00;36.190,00;36.190,00;34.130,00;2,11K;0,82%
19.04.2023;35.300,00;35.300,00;35.300,00;35.300,00;1,82K;-3,81%
18.04.2023;36.700,00;36.780,00;36.780,00;34.640,00;5,26K;-0,81%
17.04.2023;37.000,00;33.790,00;37.000,00;33.500,00;13,42K;8,19%
14.04.2023;34.200,00;34.200,00;34.200,00;34.200,00;0,59K;1,39%
13.04.2023;33.730,00;32.850,00;33.730,00;32.500,00;4,98K;3,78%
12.04.2023;32.500,00;32.500,00;32.500,00;32.500,00;0,33K;-4,38%
11.04.2023;33.990,00;32.990,00;33.990,00;32.280,00;7,50K;6,09%
10.04.2023;32.040,00;32.550,00;32.570,00;32.040,00;3,08K;-1,63%
05.04.2023;32.570,00;32.000,00;34.400,00;32.000,00;3,25K;0,46%
30.03.2023;32.420,00;30.530,00;32.420,00;30.530,00;3,67K;2,21%
29.03.2023;31.720,00;29.020,00;31.720,00;29.020,00;199,27K;5,73%
28.03.2023;30.000,00;29.650,00;30.000,00;29.650,00;5,72K;1,66%
27.03.2023;29.510,00;29.480,00;30.000,00;29.480,00;10,47K;2,50%
24.03.2023;28.790,00;28.200,00;28.790,00;28.200,00;77,56K;-2,41%
22.03.2023;29.500,00;29.500,00;29.500,00;29.500,00;0,83K;1,72%
21.03.2023;29.000,00;29.000,00;29.000,00;29.000,00;0,48K;-2,55%
17.03.2023;29.760,00;29.500,00;31.500,00;29.500,00;124,35K;0,00%
16.03.2023;29.760,00;28.000,00;29.760,00;28.000,00;20,43K;6,29%
15.03.2023;28.000,00;27.800,00;28.000,00;27.010,00;138,05K;0,72%
14.03.2023;27.800,00;27.790,00;28.500,00;27.430,00;86,48K;3,12%
13.03.2023;26.960,00;26.800,00;27.100,00;26.800,00;45,26K;-0,52%
10.03.2023;27.100,00;27.100,00;27.100,00;27.100,00;1,47K;-1,28%
09.03.2023;27.450,00;27.180,00;27.500,00;27.180,00;7,55K;2,08%
08.03.2023;26.890,00;25.700,00;26.990,00;25.700,00;39,25K;4,63%
07.03.2023;25.700,00;25.700,00;25.700,00;25.690,00;10,30K;0,00%
06.03.2023;25.700,00;25.600,00;25.700,00;25.600,00;7,30K;0,00%
03.03.2023;25.700,00;25.500,00;25.700,00;25.500,00;11,55K;0,78%
02.03.2023;25.500,00;24.980,00;25.710,00;24.980,00;15,87K;2,20%
01.03.2023;24.950,00;25.500,00;25.500,00;24.950,00;130,42K;-0,52%
28.02.2023;25.080,00;27.860,00;27.860,00;25.080,00;23,46K;-9,98%
27.02.2023;27.860,00;28.430,00;28.430,00;27.860,00;5,91K;-1,97%
24.02.2023;28.420,00;30.990,00;30.990,00;28.420,00;5,95K;-3,66%
23.02.2023;29.500,00;30.060,00;30.060,00;29.130,00;6,90K;-5,45%
21.02.2023;31.200,00;31.200,00;31.200,00;31.200,00;2,11K;-2,50%
20.02.2023;32.000,00;32.500,00;32.500,00;32.000,00;3,58K;-1,54%
15.02.2023;32.500,00;32.900,00;32.900,00;32.500,00;2,05K;-1,52%
14.02.2023;33.000,00;33.000,00;33.000,00;32.500,00;7,64K;0,00%
13.02.2023;33.000,00;32.970,00;33.000,00;32.970,00;1,67K;0,00%
10.02.2023;33.000,00;33.000,00;33.000,00;33.000,00;0,75K;-2,08%
09.02.2023;33.700,00;34.000,00;34.000,00;33.700,00;2,70K;-2,77%
08.02.2023;34.660,00;35.030,00;35.030,00;34.280,00;8,64K;-3,72%
07.02.2023;36.000,00;35.120,00;36.100,00;35.000,00;5,29K;-1,32%
06.02.2023;36.480,00;35.220,00;36.480,00;35.220,00;1,39K;-0,05%
03.02.2023;36.500,00;36.500,00;36.500,00;36.500,00;0,74K;1,39%
02.02.2023;36.000,00;36.940,00;36.940,00;36.000,00;1,05K;1,64%
01.02.2023;35.420,00;35.400,00;35.420,00;34.050,00;12,21K;0,00%
31.01.2023;35.420,00;35.460,00;35.510,00;35.420,00;2,62K;0,25%
30.01.2023;35.330,00;37.000,00;37.000,00;35.330,00;4,45K;-4,51%
27.01.2023;37.000,00;37.900,00;37.900,00;36.800,00;5,75K;3,18%
26.01.2023;35.860,00;38.490,00;38.490,00;35.860,00;1,14K;-1,21%
25.01.2023;36.300,00;38.000,00;38.000,00;36.300,00;8,13K;-3,28%
24.01.2023;37.530,00;39.900,00;39.900,00;37.530,00;3,47K;-6,18%
23.01.2023;40.000,00;39.870,00;40.000,00;39.870,00;3,64K;0,00%
18.01.2023;40.000,00;41.400,00;41.400,00;37.990,00;5,95K;0,25%
17.01.2023;39.900,00;39.890,00;40.000,00;39.890,00;4,49K;2,05%
13.01.2023;39.100,00;39.100,00;39.100,00;39.100,00;0,74K;0,00%
12.01.2023;39.100,00;40.000,00;40.000,00;39.100,00;9,65K;-2,25%
11.01.2023;40.000,00;40.000,00;40.000,00;40.000,00;6,57K;1,01%
10.01.2023;39.600,00;39.600,00;39.600,00;39.600,00;1,09K;-0,75%
06.01.2023;39.900,00;39.900,00;39.900,00;39.900,00;2,28K;-0,23%
05.01.2023;39.990,00;39.990,00;39.990,00;39.990,00;0,99K;0,23%
03.01.2023;39.900,00;39.900,00;39.900,00;39.900,00;1,07K;7,84%
29.12.2022;37.000,00;40.000,00;40.000,00;37.000,00;9,94K;-7,50%
28.12.2022;40.000,00;38.000,00;40.000,00;38.000,00;7,07K;5,26%
27.12.2022;38.000,00;37.100,00;39.000,00;37.100,00;2,21K;2,98%
23.12.2022;36.900,00;36.900,00;36.900,00;36.900,00;16,46K;0,00%
22.12.2022;36.900,00;37.000,00;37.000,00;36.900,00;4,99K;-0,27%
21.12.2022;37.000,00;34.980,00;37.000,00;34.980,00;6,45K;6,02%
20.12.2022;34.900,00;33.990,00;34.900,00;33.990,00;15,94K;2,68%
19.12.2022;33.990,00;33.790,00;33.990,00;33.790,00;9,46K;0,00%
16.12.2022;33.990,00;31.870,00;33.990,00;31.870,00;24,87K;6,38%
15.12.2022;31.950,00;30.600,00;31.950,00;30.600,00;2,27K;0,13%
14.12.2022;31.910,00;33.200,00;33.200,00;30.430,00;27,03K;-5,59%
13.12.2022;33.800,00;33.500,00;33.800,00;33.500,00;2,54K;0,90%
12.12.2022;33.500,00;33.500,00;33.500,00;33.500,00;0,92K;-1,47%
09.12.2022;34.000,00;34.000,00;34.000,00;34.000,00;0,56K;0,00%
07.12.2022;34.000,00;34.000,00;34.000,00;34.000,00;1,19K;0,29%
02.12.2022;33.900,00;34.100,00;35.010,00;33.900,00;13,88K;-0,29%
01.12.2022;34.000,00;32.000,00;34.000,00;32.000,00;82,90K;6,25%
30.11.2022;32.000,00;32.990,00;33.000,00;32.000,00;92,27K;-3,03%
29.11.2022;33.000,00;32.960,00;33.000,00;32.720,00;2,61K;-2,51%
28.11.2022;33.850,00;33.750,00;34.000,00;33.400,00;6,52K;-0,38%
25.11.2022;33.980,00;32.500,00;33.980,00;32.500,00;7,69K;0,24%
24.11.2022;33.900,00;32.060,00;33.900,00;32.000,00;13,63K;1,19%
23.11.2022;33.500,00;31.500,00;33.500,00;31.500,00;36,66K;7,72%
22.11.2022;31.100,00;31.490,00;31.500,00;31.100,00;8,13K;0,32%
21.11.2022;31.000,00;31.000,00;31.000,00;29.990,00;10,07K;3,33%
18.11.2022;30.000,00;30.490,00;30.490,00;29.600,00;5,30K;2,39%
17.11.2022;29.300,00;30.400,00;30.400,00;29.300,00;3,92K;-3,62%
16.11.2022;30.400,00;30.000,00;30.400,00;29.010,00;8,47K;1,33%
15.11.2022;30.000,00;30.000,00;30.000,00;28.800,00;6,38K;0,00%
11.11.2022;30.000,00;32.450,00;32.450,00;30.000,00;10,98K;0,03%
10.11.2022;29.990,00;28.490,00;29.990,00;28.400,00;18,33K;6,42%
09.11.2022;28.180,00;28.480,00;28.480,00;28.000,00;6,88K;-0,77%
08.11.2022;28.400,00;27.350,00;28.400,00;27.350,00;4,59K;3,99%
04.11.2022;27.310,00;27.000,00;27.980,00;27.000,00;4,53K;-0,94%
03.11.2022;27.570,00;28.000,00;28.000,00;27.570,00;3,05K;-1,54%
02.11.2022;28.000,00;26.700,00;28.080,00;26.700,00;9,34K;3,70%
01.11.2022;27.000,00;25.700,00;27.940,00;25.500,00;7,88K;3,85%
31.10.2022;26.000,00;26.200,00;26.200,00;25.500,00;3,26K;0,00%
28.10.2022;26.000,00;26.100,00;26.100,00;25.990,00;7,85K;0,00%
27.10.2022;26.000,00;26.520,00;26.520,00;26.000,00;11,00K;-2,03%
26.10.2022;26.540,00;27.200,00;27.300,00;26.540,00;2,35K;0,15%
25.10.2022;26.500,00;27.030,00;27.030,00;26.500,00;5,13K;-1,85%
24.10.2022;27.000,00;28.250,00;28.250,00;26.350,00;3,15K;-5,26%
21.10.2022;28.500,00;28.500,00;28.500,00;28.500,00;4,74K;-1,04%
20.10.2022;28.800,00;29.000,00;29.000,00;28.800,00;4,87K;-0,69%
19.10.2022;29.000,00;30.400,00;30.400,00;29.000,00;6,07K;-0,75%
18.10.2022;29.220,00;29.200,00;29.230,00;29.200,00;2,03K;-2,60%
14.10.2022;30.000,00;29.980,00;30.000,00;29.980,00;0,92K;2,56%
13.10.2022;29.250,00;30.390,00;30.390,00;29.250,00;1,63K;-4,41%
07.10.2022;30.600,00;30.600,00;30.600,00;30.600,00;0,58K;-0,33%
05.10.2022;30.700,00;30.520,00;30.700,00;30.520,00;2,09K;0,62%
04.10.2022;30.510,00;30.510,00;30.510,00;30.510,00;0,96K;2,83%
03.10.2022;29.670,00;29.670,00;29.670,00;29.670,00;0,76K;3,96%
30.09.2022;28.540,00;28.250,00;28.540,00;28.250,00;1,70K;1,03%
29.09.2022;28.250,00;28.100,00;28.250,00;28.100,00;1,16K;-1,91%
28.09.2022;28.800,00;29.000,00;29.800,00;28.500,00;70,15K;2,75%
27.09.2022;28.030,00;30.000,00;30.050,00;28.030,00;8,15K;-1,99%
26.09.2022;28.600,00;30.420,00;30.420,00;28.600,00;4,29K;-8,48%
23.09.2022;31.250,00;33.400,00;33.400,00;31.250,00;7,51K;-3,93%
21.09.2022;32.530,00;33.870,00;33.870,00;32.000,00;6,88K;-3,47%
20.09.2022;33.700,00;30.400,00;33.900,00;30.400,00;10,71K;-0,06%
19.09.2022;33.720,00;33.000,00;34.880,00;33.000,00;5,74K;0,00%
16.09.2022;33.720,00;35.120,00;35.250,00;33.720,00;50,30K;-4,48%
15.09.2022;35.300,00;35.300,00;35.300,00;35.300,00;3,76K;-1,40%
13.09.2022;35.800,00;36.350,00;36.350,00;35.000,00;2,13K;-3,24%
12.09.2022;37.000,00;36.640,00;37.000,00;36.640,00;2,40K;0,00%
07.09.2022;37.000,00;38.000,00;38.000,00;37.000,00;9,75K;-2,63%
06.09.2022;38.000,00;38.010,00;38.010,00;38.000,00;1,06K;-3,75%
05.09.2022;39.480,00;39.470,00;39.480,00;39.470,00;1,90K;-0,05%
02.09.2022;39.500,00;39.500,00;39.500,00;39.500,00;1,00K;7,05%
01.09.2022;36.900,00;37.550,00;37.610,00;36.900,00;3,49K;-7,75%
31.08.2022;40.000,00;37.250,00;40.000,00;37.250,00;17,56K;0,76%
30.08.2022;39.700,00;39.700,00;39.700,00;39.700,00;0,77K;-0,50%
29.08.2022;39.900,00;39.900,00;39.900,00;39.900,00;1,35K;-0,25%
26.08.2022;40.000,00;39.410,00;40.000,00;39.000,00;2,79K;1,52%
25.08.2022;39.400,00;41.400,00;41.400,00;39.400,00;6,84K;0,00%
24.08.2022;39.400,00;40.000,00;40.000,00;39.400,00;4,39K;-0,33%
23.08.2022;39.530,00;41.000,00;41.000,00;37.000,00;5,56K;-3,59%
22.08.2022;41.000,00;41.050,00;41.050,00;41.000,00;4,37K;-2,38%
19.08.2022;42.000,00;41.160,00;42.000,00;41.000,00;6,64K;-1,22%
18.08.2022;42.520,00;42.000,00;42.520,00;41.980,00;10,51K;-0,19%
17.08.2022;42.600,00;43.470,00;43.470,00;42.060,00;7,17K;-0,68%
16.08.2022;42.890,00;41.950,00;42.890,00;41.900,00;8,18K;2,71%
12.08.2022;41.760,00;41.960,00;41.960,00;41.760,00;2,11K;-0,57%
11.08.2022;42.000,00;42.600,00;42.980,00;41.030,00;5,54K;-1,41%
10.08.2022;42.600,00;42.200,00;42.600,00;41.510,00;3,97K;-1,93%
09.08.2022;43.440,00;43.470,00;43.470,00;42.100,00;4,60K;-0,07%
08.08.2022;43.470,00;41.700,00;43.470,00;41.700,00;17,84K;4,24%
05.08.2022;41.700,00;41.600,00;41.700,00;41.600,00;0,77K;2,84%
04.08.2022;40.550,00;40.550,00;40.550,00;40.550,00;2,41K;-0,76%
03.08.2022;40.860,00;41.000,00;41.000,00;40.850,00;3,40K;-2,23%
01.08.2022;41.790,00;40.670,00;41.790,00;40.500,00;48,03K;0,70%
29.07.2022;41.500,00;42.000,00;42.000,00;41.490,00;4,42K;-1,19%
28.07.2022;42.000,00;42.000,00;42.000,00;41.990,00;4,01K;1,45%
27.07.2022;41.400,00;41.400,00;41.400,00;41.400,00;1,63K;0,00%
26.07.2022;41.400,00;41.400,00;41.400,00;41.400,00;0,60K;0,00%
25.07.2022;41.400,00;41.400,00;41.400,00;41.400,00;0,71K;-1,43%
22.07.2022;42.000,00;42.000,00;42.000,00;42.000,00;1,48K;0,00%
21.07.2022;42.000,00;42.000,00;42.560,00;40.810,00;8,50K;1,20%
19.07.2022;41.500,00;41.400,00;42.000,00;41.400,00;11,75K;0,24%
18.07.2022;41.400,00;41.000,00;41.990,00;40.000,00;27,61K;1,97%
15.07.2022;40.600,00;42.540,00;42.540,00;40.010,00;20,28K;-6,62%
14.07.2022;43.480,00;45.020,00;45.020,00;42.000,00;24,99K;-4,33%
13.07.2022;45.450,00;45.520,00;45.950,00;45.400,00;6,70K;-1,09%
12.07.2022;45.950,00;46.000,00;46.000,00;45.600,00;14,05K;-0,54%
11.07.2022;46.200,00;46.510,00;46.510,00;46.000,00;11,17K;-0,54%
08.07.2022;46.450,00;46.100,00;46.450,00;46.100,00;8,55K;-1,00%
07.07.2022;46.920,00;46.000,00;46.920,00;45.210,00;21,42K;2,00%
06.07.2022;46.000,00;46.000,00;47.000,00;46.000,00;39,80K;0,00%
05.07.2022;46.000,00;46.800,00;46.800,00;46.000,00;4,84K;-1,29%
01.07.2022;46.600,00;47.000,00;47.000,00;45.990,00;15,62K;1,30%
30.06.2022;46.000,00;47.860,00;47.860,00;46.000,00;26,45K;-3,16%
29.06.2022;47.500,00;49.000,00;49.020,00;47.500,00;64,98K;-3,10%
28.06.2022;49.020,00;51.400,00;51.400,00;49.020,00;6,92K;-1,96%
24.06.2022;50.000,00;51.500,00;52.000,00;50.000,00;12,42K;0,00%
23.06.2022;50.000,00;52.660,00;52.660,00;50.000,00;31,24K;-5,05%
22.06.2022;52.660,00;52.000,00;53.200,00;52.000,00;12,81K;0,00%
