Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;31.000,00;30.470,00;31.010,00;30.320,00;410,57K;1,74%
29.06.2023;30.470,00;30.790,00;30.790,00;30.300,00;425,62K;1,84%
28.06.2023;29.920,00;30.470,00;30.690,00;29.920,00;61,58K;-1,68%
27.06.2023;30.430,00;30.350,00;30.430,00;29.800,00;164,05K;-1,46%
26.06.2023;30.880,00;31.700,00;31.700,00;30.880,00;54,30K;-0,52%
23.06.2023;31.040,00;30.090,00;31.350,00;30.090,00;37,08K;0,19%
22.06.2023;30.980,00;31.000,00;31.890,00;30.630,00;66,55K;-0,39%
21.06.2023;31.100,00;31.300,00;31.570,00;31.100,00;45,71K;-1,14%
20.06.2023;31.460,00;32.950,00;32.950,00;30.700,00;107,52K;-2,42%
16.06.2023;32.240,00;32.400,00;33.250,00;31.550,00;366,50K;-0,52%
15.06.2023;32.410,00;32.500,00;32.910,00;32.410,00;124,50K;-1,49%
14.06.2023;32.900,00;33.400,00;33.400,00;32.900,00;140,83K;-1,47%
13.06.2023;33.390,00;33.190,00;33.680,00;33.000,00;87,65K;0,60%
09.06.2023;33.190,00;33.830,00;33.830,00;32.560,00;121,54K;-1,95%
08.06.2023;33.850,00;34.940,00;34.940,00;33.690,00;61,15K;-3,29%
07.06.2023;35.000,00;33.890,00;35.000,00;33.300,00;406,41K;5,42%
06.06.2023;33.200,00;31.700,00;33.700,00;31.700,00;106,49K;5,73%
05.06.2023;31.400,00;31.990,00;31.990,00;31.280,00;183,76K;2,61%
02.06.2023;30.600,00;29.900,00;30.980,00;29.560,00;226,66K;6,25%
01.06.2023;28.800,00;28.000,00;29.480,00;28.000,00;418,48K;3,60%
31.05.2023;27.800,00;28.000,00;28.850,00;27.800,00;887,80K;-0,68%
30.05.2023;27.990,00;29.300,00;29.300,00;27.990,00;122,73K;-4,73%
29.05.2023;29.380,00;29.520,00;29.780,00;29.380,00;534,91K;-0,27%
26.05.2023;29.460,00;30.300,00;30.300,00;29.420,00;57,63K;-0,14%
25.05.2023;29.500,00;30.980,00;31.000,00;28.580,00;191,24K;-6,23%
24.05.2023;31.460,00;31.530,00;31.690,00;31.300,00;60,55K;-0,22%
23.05.2023;31.530,00;32.000,00;32.460,00;31.530,00;381,72K;0,00%
19.05.2023;31.530,00;32.700,00;33.190,00;31.530,00;119,25K;-3,28%
18.05.2023;32.600,00;31.900,00;32.600,00;31.500,00;147,70K;2,19%
17.05.2023;31.900,00;32.550,00;32.550,00;31.900,00;176,17K;-0,34%
16.05.2023;32.010,00;32.500,00;32.670,00;32.010,00;263,79K;-0,71%
15.05.2023;32.240,00;33.820,00;33.820,00;32.240,00;164,26K;-2,89%
12.05.2023;33.200,00;33.800,00;34.150,00;33.200,00;365,74K;-1,40%
11.05.2023;33.670,00;34.650,00;34.740,00;33.670,00;929,70K;-2,04%
10.05.2023;34.370,00;34.650,00;34.650,00;34.370,00;54,39K;-0,66%
09.05.2023;34.600,00;34.300,00;34.600,00;34.300,00;30,41K;0,82%
08.05.2023;34.320,00;35.000,00;35.000,00;34.120,00;27,69K;-1,94%
05.05.2023;35.000,00;35.390,00;35.390,00;34.960,00;172,15K;0,00%
04.05.2023;35.000,00;35.430,00;35.530,00;34.610,00;148,95K;0,57%
03.05.2023;34.800,00;35.890,00;35.890,00;34.800,00;68,20K;0,00%
02.05.2023;34.800,00;35.780,00;35.780,00;34.400,00;65,24K;-3,33%
28.04.2023;36.000,00;35.000,00;36.000,00;35.000,00;148,05K;2,53%
27.04.2023;35.110,00;36.710,00;36.710,00;35.110,00;38,30K;-5,11%
26.04.2023;37.000,00;38.000,00;38.200,00;36.500,00;148,34K;-3,39%
25.04.2023;38.300,00;38.500,00;38.500,00;36.700,00;40,86K;-1,03%
24.04.2023;38.700,00;38.810,00;38.810,00;38.220,00;80,88K;0,13%
21.04.2023;38.650,00;38.520,00;38.840,00;38.140,00;29,93K;-0,59%
20.04.2023;38.880,00;38.900,00;39.200,00;38.710,00;117,37K;-0,26%
19.04.2023;38.980,00;39.150,00;39.400,00;38.980,00;181,56K;-0,56%
18.04.2023;39.200,00;39.800,00;39.800,00;39.150,00;703,04K;-0,78%
17.04.2023;39.510,00;38.360,00;39.600,00;38.360,00;223,11K;0,87%
14.04.2023;39.170,00;37.400,00;39.170,00;37.400,00;101,29K;4,73%
13.04.2023;37.400,00;37.320,00;37.760,00;37.030,00;131,66K;-1,53%
12.04.2023;37.980,00;37.200,00;37.980,00;37.200,00;102,03K;2,65%
11.04.2023;37.000,00;35.980,00;37.000,00;35.500,00;200,75K;2,83%
10.04.2023;35.980,00;35.250,00;35.980,00;35.220,00;103,13K;1,93%
05.04.2023;35.300,00;34.900,00;35.300,00;34.090,00;267,76K;1,15%
04.04.2023;34.900,00;35.050,00;35.200,00;34.900,00;78,34K;-0,29%
03.04.2023;35.000,00;34.980,00;35.200,00;34.600,00;23,86K;0,03%
31.03.2023;34.990,00;34.450,00;34.990,00;33.910,00;195,78K;3,83%
30.03.2023;33.700,00;33.870,00;33.870,00;33.520,00;35,31K;2,74%
29.03.2023;32.800,00;32.910,00;33.000,00;32.560,00;124,72K;1,71%
28.03.2023;32.250,00;33.760,00;33.760,00;32.200,00;168,82K;-4,47%
27.03.2023;33.760,00;34.000,00;34.410,00;33.750,00;94,28K;-0,71%
24.03.2023;34.000,00;32.950,00;34.000,00;32.930,00;39,77K;3,53%
23.03.2023;32.840,00;32.920,00;33.210,00;32.200,00;157,87K;-0,18%
22.03.2023;32.900,00;33.290,00;33.290,00;32.890,00;94,03K;1,54%
21.03.2023;32.400,00;32.590,00;33.450,00;32.010,00;106,34K;3,18%
17.03.2023;31.400,00;31.050,00;31.740,00;30.480,00;894,21K;1,26%
16.03.2023;31.010,00;31.560,00;32.700,00;31.010,00;253,28K;-1,43%
15.03.2023;31.460,00;34.000,00;34.000,00;31.460,00;186,01K;-7,74%
14.03.2023;34.100,00;35.100,00;35.500,00;34.100,00;220,38K;-0,03%
13.03.2023;34.110,00;35.060,00;35.700,00;34.110,00;120,58K;-6,55%
10.03.2023;36.500,00;37.640,00;38.700,00;36.500,00;95,41K;-4,20%
09.03.2023;38.100,00;38.500,00;38.500,00;37.730,00;45,77K;-2,31%
08.03.2023;39.000,00;38.950,00;39.000,00;38.250,00;86,53K;0,83%
07.03.2023;38.680,00;37.900,00;38.950,00;37.900,00;155,39K;2,06%
06.03.2023;37.900,00;37.990,00;38.100,00;37.850,00;190,36K;2,05%
03.03.2023;37.140,00;37.400,00;38.000,00;36.900,00;175,86K;1,61%
02.03.2023;36.550,00;37.450,00;37.450,00;36.550,00;79,19K;0,27%
01.03.2023;36.450,00;37.000,00;37.000,00;36.300,00;63,20K;1,53%
28.02.2023;35.900,00;37.400,00;37.920,00;35.900,00;1,15M;-4,22%
27.02.2023;37.480,00;36.310,00;37.900,00;36.310,00;100,02K;1,30%
