Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
26.06.2023;9.470,00;9.470,00;9.470,00;9.470,00;1,61K;-4,34%
23.06.2023;9.900,00;9.900,00;9.900,00;9.900,00;4,20K;-2,46%
21.06.2023;10.150,00;10.080,00;10.150,00;10.080,00;7,92K;1,50%
20.06.2023;10.000,00;9.745,00;10.000,00;9.745,00;9,97K;2,62%
16.06.2023;9.745,00;9.745,00;9.745,00;9.745,00;4,28K;-4,93%
15.06.2023;10.250,00;9.120,00;10.260,00;9.120,00;150,68K;7,95%
14.06.2023;9.495,00;9.230,00;9.945,00;9.100,00;14,70K;-3,11%
13.06.2023;9.800,00;9.825,00;9.825,00;9.800,00;4,13K;-4,30%
09.06.2023;10.240,00;10.170,00;10.240,00;10.170,00;5,91K;0,69%
08.06.2023;10.170,00;10.190,00;10.190,00;10.170,00;3,14K;3,04%
06.06.2023;9.870,00;10.090,00;10.090,00;9.870,00;10,90K;2,23%
05.06.2023;9.655,00;9.655,00;9.655,00;9.655,00;2,21K;-5,80%
31.05.2023;10.250,00;10.250,00;10.250,00;10.250,00;28,26K;0,00%
17.05.2023;10.250,00;9.570,00;10.250,00;9.570,00;3,46K;0,00%
15.05.2023;10.250,00;10.250,00;10.250,00;10.250,00;2,24K;0,00%
12.05.2023;10.250,00;9.745,00;10.250,00;9.745,00;2,70K;0,00%
10.05.2023;10.250,00;10.250,00;10.250,00;10.250,00;2,09K;0,00%
09.05.2023;10.250,00;10.100,00;10.250,00;10.100,00;19,33K;1,49%
08.05.2023;10.100,00;10.100,00;10.100,00;10.100,00;3,26K;2,12%
05.05.2023;9.890,00;10.100,00;10.120,00;9.850,00;6,98K;-2,08%
04.05.2023;10.100,00;10.100,00;10.100,00;10.100,00;4,73K;0,00%
02.05.2023;10.100,00;9.565,00;10.100,00;9.565,00;12,73K;0,50%
28.04.2023;10.050,00;10.000,00;10.050,00;10.000,00;12,63K;0,50%
27.04.2023;10.000,00;9.900,00;10.000,00;9.520,00;20,42K;1,01%
26.04.2023;9.900,00;9.890,00;9.900,00;9.890,00;7,69K;1,75%
25.04.2023;9.730,00;9.900,00;9.900,00;9.610,00;9,44K;-1,72%
24.04.2023;9.900,00;9.900,00;10.000,00;9.900,00;9,78K;-7,91%
21.04.2023;10.750,00;10.790,00;10.800,00;10.750,00;17,45K;-0,46%
20.04.2023;10.800,00;10.160,00;10.800,00;10.160,00;24,56K;6,51%
19.04.2023;10.140,00;10.120,00;10.140,00;10.120,00;7,00K;1,50%
18.04.2023;9.990,00;9.800,00;10.000,00;9.800,00;19,13K;4,83%
17.04.2023;9.530,00;9.940,00;9.940,00;9.530,00;8,14K;-2,66%
14.04.2023;9.790,00;10.000,00;10.000,00;9.790,00;9,62K;-1,61%
13.04.2023;9.950,00;9.800,00;9.950,00;9.800,00;5,01K;2,05%
11.04.2023;9.750,00;9.750,00;9.750,00;9.750,00;2,14K;-2,30%
10.04.2023;9.980,00;9.980,00;9.980,00;9.980,00;2,06K;-0,20%
05.04.2023;10.000,00;10.000,00;10.000,00;10.000,00;4,45K;-1,28%
29.03.2023;10.130,00;10.130,00;10.130,00;10.130,00;1,56K;1,81%
28.03.2023;9.950,00;9.550,00;9.950,00;9.550,00;6,65K;0,96%
27.03.2023;9.855,00;9.500,00;9.855,00;9.500,00;18,21K;3,74%
24.03.2023;9.500,00;9.500,00;9.500,00;9.500,00;2,53K;-1,04%
23.03.2023;9.600,00;9.590,00;9.600,00;9.590,00;5,85K;1,05%
22.03.2023;9.500,00;9.490,00;9.500,00;9.490,00;17,02K;0,11%
21.03.2023;9.490,00;9.400,00;9.500,00;9.400,00;10,91K;-0,11%
17.03.2023;9.500,00;9.380,00;9.500,00;9.380,00;53,05K;1,06%
16.03.2023;9.400,00;8.640,00;9.500,00;8.640,00;25,93K;-2,08%
15.03.2023;9.600,00;8.100,00;9.600,00;8.100,00;3,55M;20,00%
14.03.2023;8.000,00;7.985,00;8.000,00;7.985,00;12,05K;2,17%
10.03.2023;7.830,00;7.500,00;7.830,00;7.500,00;29,06K;4,40%
08.03.2023;7.500,00;7.500,00;7.500,00;7.500,00;2,93K;1,49%
06.03.2023;7.390,00;7.405,00;7.405,00;7.390,00;7,51K;2,64%
28.02.2023;7.200,00;7.200,00;7.200,00;7.200,00;28,84K;-1,37%
27.02.2023;7.300,00;7.200,00;7.300,00;7.200,00;11,98K;-0,88%
24.02.2023;7.365,00;7.365,00;7.365,00;7.365,00;3,80K;0,00%
23.02.2023;7.365,00;7.205,00;7.365,00;7.200,00;11,68K;2,29%
22.02.2023;7.200,00;7.200,00;7.200,00;7.200,00;10,70K;0,00%
21.02.2023;7.200,00;7.385,00;7.385,00;7.200,00;28,88K;-0,69%
20.02.2023;7.250,00;7.250,00;7.250,00;7.250,00;9,24K;-0,41%
17.02.2023;7.280,00;7.250,00;7.280,00;7.250,00;7,74K;1,82%
