Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;2.680,00;2.680,00;2.680,00;2.620,00;61,96K;0,00%
29.06.2023;2.680,00;2.680,00;2.680,00;2.680,00;9,60K;-0,74%
28.06.2023;2.700,00;2.680,00;2.700,00;2.680,00;28,58K;0,75%
27.06.2023;2.680,00;2.660,00;2.685,00;2.660,00;86,55K;-0,19%
23.06.2023;2.685,00;2.685,00;2.685,00;2.685,00;6,94K;-2,01%
22.06.2023;2.740,00;2.712,00;2.740,00;2.710,00;33,57K;0,18%
21.06.2023;2.735,00;2.750,00;2.750,00;2.735,00;28,88K;-0,44%
20.06.2023;2.747,00;2.740,00;2.762,00;2.740,00;151,40K;0,26%
16.06.2023;2.740,00;2.780,00;2.780,00;2.740,00;39,76K;-4,20%
15.06.2023;2.860,00;2.750,00;2.869,00;2.750,00;48,34K;2,14%
14.06.2023;2.800,00;2.799,00;2.800,00;2.799,00;50,42K;-2,81%
13.06.2023;2.881,00;2.740,00;2.881,00;2.722,00;102,23K;5,15%
09.06.2023;2.740,00;2.750,00;2.750,00;2.701,00;27,84K;-1,26%
08.06.2023;2.775,00;2.729,00;2.779,00;2.601,00;47,87K;-0,18%
07.06.2023;2.780,00;2.880,00;2.880,00;2.780,00;414,82K;-2,11%
06.06.2023;2.840,00;2.824,00;2.920,00;2.805,00;419,96K;1,43%
05.06.2023;2.800,00;2.800,00;2.865,00;2.800,00;69,28K;-1,41%
02.06.2023;2.840,00;2.670,00;2.847,00;2.660,00;469,19K;5,58%
01.06.2023;2.690,00;2.690,00;2.780,00;2.690,00;113,63K;-0,37%
31.05.2023;2.700,00;2.610,00;2.700,00;2.515,00;382,73K;3,81%
30.05.2023;2.601,00;2.603,00;2.603,00;2.601,00;33,68K;0,08%
26.05.2023;2.599,00;2.600,00;2.600,00;2.599,00;32,70K;-0,04%
25.05.2023;2.600,00;2.600,00;2.600,00;2.600,00;11,85K;0,50%
24.05.2023;2.587,00;2.690,00;2.690,00;2.587,00;27,69K;-5,17%
23.05.2023;2.728,00;2.728,00;2.728,00;2.728,00;14,74K;1,04%
19.05.2023;2.700,00;2.700,00;2.700,00;2.700,00;26,87K;0,00%
18.05.2023;2.700,00;2.696,00;2.700,00;2.696,00;42,39K;0,19%
17.05.2023;2.695,00;2.611,00;2.695,00;2.611,00;25,81K;-0,19%
12.05.2023;2.700,00;2.675,00;2.700,00;2.667,00;124,46K;1,28%
11.05.2023;2.666,00;2.722,00;2.722,00;2.666,00;52,09K;-1,26%
09.05.2023;2.700,00;2.808,00;2.825,00;2.700,00;54,52K;-3,85%
08.05.2023;2.808,00;2.806,00;2.808,00;2.806,00;41,30K;0,11%
05.05.2023;2.805,00;2.872,00;2.872,00;2.805,00;39,38K;-2,26%
04.05.2023;2.870,00;2.821,00;2.870,00;2.810,00;107,47K;-1,00%
03.05.2023;2.899,00;2.890,00;2.905,00;2.880,00;130,87K;-0,03%
02.05.2023;2.900,00;2.950,00;2.950,00;2.833,00;121,54K;-0,68%
28.04.2023;2.920,00;2.825,00;2.920,00;2.825,00;144,98K;3,55%
27.04.2023;2.820,00;2.807,00;2.820,00;2.805,00;33,62K;-5,05%
26.04.2023;2.970,00;2.980,00;3.019,00;2.970,00;94,31K;0,68%
25.04.2023;2.950,00;2.951,00;2.951,00;2.950,00;58,33K;-0,34%
24.04.2023;2.960,00;2.993,00;2.999,00;2.960,00;80,56K;-1,00%
21.04.2023;2.990,00;2.902,00;3.000,00;2.902,00;330,22K;-1,77%
19.04.2023;3.044,00;2.950,00;3.048,00;2.950,00;236,08K;2,49%
18.04.2023;2.970,00;3.001,00;3.040,00;2.970,00;80,80K;-0,03%
17.04.2023;2.971,00;2.802,00;3.075,00;2.802,00;171,12K;-3,44%
14.04.2023;3.077,00;3.050,00;3.077,00;3.001,00;242,34K;-0,36%
13.04.2023;3.088,00;3.057,00;3.089,00;3.057,00;124,94K;-0,06%
12.04.2023;3.090,00;3.055,00;3.090,00;3.031,00;76,73K;-0,87%
11.04.2023;3.117,00;3.100,00;3.119,00;3.070,00;857,38K;0,71%
10.04.2023;3.095,00;3.080,00;3.099,00;3.070,00;170,00K;1,48%
05.04.2023;3.050,00;3.000,00;3.050,00;2.999,00;172,39K;4,45%
04.04.2023;2.920,00;2.980,00;2.993,00;2.920,00;48,16K;-1,02%
03.04.2023;2.950,00;2.970,00;2.970,00;2.905,00;131,57K;1,72%
31.03.2023;2.900,00;2.801,00;2.900,00;2.752,00;162,36K;1,43%
30.03.2023;2.859,00;2.840,00;2.865,00;2.811,00;140,68K;0,32%
29.03.2023;2.850,00;2.800,00;2.850,00;2.751,00;142,92K;1,32%
28.03.2023;2.813,00;2.840,00;2.840,00;2.813,00;442,09K;0,46%
27.03.2023;2.800,00;2.750,00;2.840,00;2.700,00;246,63K;1,82%
24.03.2023;2.750,00;2.850,00;2.850,00;2.710,00;2,14M;-1,43%
23.03.2023;2.790,00;2.718,00;2.790,00;2.700,00;40,39K;2,20%
22.03.2023;2.730,00;2.736,00;2.736,00;2.730,00;56,82K;-2,50%
21.03.2023;2.800,00;2.770,00;2.820,00;2.751,00;69,03K;-1,69%
17.03.2023;2.848,00;2.800,00;2.848,00;2.770,00;678,47K;-0,77%
16.03.2023;2.870,00;2.700,00;2.910,00;2.700,00;2,81M;6,30%
15.03.2023;2.700,00;2.555,00;2.700,00;2.540,00;835,91K;5,68%
14.03.2023;2.555,00;2.480,00;2.555,00;2.480,00;82,31K;5,58%
13.03.2023;2.420,00;2.410,00;2.490,00;2.400,00;111,13K;-1,22%
10.03.2023;2.450,00;2.500,00;2.500,00;2.450,00;98,07K;-2,00%
09.03.2023;2.500,00;2.600,00;2.600,00;2.500,00;122,55K;-3,85%
08.03.2023;2.600,00;2.661,00;2.661,00;2.600,00;186,26K;-2,99%
