Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;3.400,00;3.270,00;3.400,00;3.270,00;300,42K;4,29%
29.06.2023;3.260,00;3.278,00;3.280,00;3.260,00;272,22K;-1,51%
28.06.2023;3.310,00;3.350,00;3.350,00;3.280,00;14,68K;-0,90%
27.06.2023;3.340,00;3.280,00;3.344,00;3.270,00;173,82K;0,42%
23.06.2023;3.326,00;3.355,00;3.356,00;3.326,00;52,93K;-1,13%
22.06.2023;3.364,00;3.355,00;3.423,00;3.302,00;575,84K;0,36%
21.06.2023;3.352,00;3.440,00;3.440,00;3.347,00;86,73K;-2,84%
20.06.2023;3.450,00;3.525,00;3.525,00;3.440,00;221,06K;-2,27%
16.06.2023;3.530,00;3.580,00;3.590,00;3.530,00;96,27K;-1,94%
15.06.2023;3.600,00;3.605,00;3.620,00;3.591,00;165,30K;1,41%
14.06.2023;3.550,00;3.635,00;3.635,00;3.500,00;1,80M;-2,47%
13.06.2023;3.640,00;3.700,00;3.750,00;3.605,00;159,26K;-0,27%
09.06.2023;3.650,00;3.550,00;3.650,00;3.460,00;193,13K;3,19%
08.06.2023;3.537,00;3.500,00;3.543,00;3.490,00;598,10K;1,06%
07.06.2023;3.500,00;3.590,00;3.590,00;3.500,00;551,58K;-0,85%
06.06.2023;3.530,00;3.425,00;3.544,00;3.420,00;1,09M;3,82%
05.06.2023;3.400,00;3.440,00;3.460,00;3.400,00;546,66K;0,00%
02.06.2023;3.400,00;3.295,00;3.438,00;3.295,00;2,52M;3,03%
01.06.2023;3.300,00;3.184,00;3.300,00;3.184,00;913,33K;3,77%
31.05.2023;3.180,00;3.155,00;3.183,00;3.130,00;1,08M;0,79%
30.05.2023;3.155,00;3.230,00;3.250,00;3.021,00;271,91K;-0,94%
29.05.2023;3.185,00;3.067,00;3.185,00;3.066,00;108,12K;4,39%
26.05.2023;3.051,00;2.999,00;3.051,00;2.999,00;31,75K;3,60%
25.05.2023;2.945,00;2.965,00;2.965,00;2.921,00;58,31K;-0,67%
24.05.2023;2.965,00;2.988,00;2.988,00;2.965,00;20,96K;-1,82%
23.05.2023;3.020,00;3.005,00;3.020,00;2.985,00;86,54K;-0,89%
19.05.2023;3.047,00;3.000,00;3.210,00;3.000,00;130,41K;2,52%
18.05.2023;2.972,00;2.980,00;3.000,00;2.972,00;300,59K;-0,23%
17.05.2023;2.979,00;2.986,00;2.987,00;2.979,00;118,04K;-0,43%
16.05.2023;2.992,00;3.070,00;3.070,00;2.992,00;65,07K;-2,54%
15.05.2023;3.070,00;3.080,00;3.080,00;3.070,00;23,03K;-0,39%
12.05.2023;3.082,00;2.993,00;3.082,00;2.993,00;184,93K;2,70%
11.05.2023;3.001,00;3.040,00;3.050,00;3.001,00;736,77K;-1,93%
10.05.2023;3.060,00;3.065,00;3.074,00;3.060,00;69,41K;0,33%
09.05.2023;3.050,00;3.064,00;3.070,00;3.050,00;39,27K;-0,33%
08.05.2023;3.060,00;3.000,00;3.060,00;3.000,00;977,52K;1,32%
05.05.2023;3.020,00;3.020,00;3.020,00;3.020,00;50,90K;0,00%
04.05.2023;3.020,00;2.980,00;3.025,00;2.980,00;151,87K;-0,53%
03.05.2023;3.036,00;3.003,00;3.036,00;2.990,00;157,56K;1,10%
02.05.2023;3.003,00;3.070,00;3.070,00;2.995,00;255,84K;-2,82%
28.04.2023;3.090,00;3.050,00;3.090,00;2.995,00;258,94K;0,68%
27.04.2023;3.069,00;3.138,00;3.145,00;3.006,00;244,36K;-2,42%
26.04.2023;3.145,00;3.100,00;3.145,00;3.080,00;155,35K;1,13%
25.04.2023;3.110,00;3.135,00;3.155,00;3.100,00;80,87K;-2,14%
24.04.2023;3.178,00;3.179,00;3.179,00;3.160,00;75,02K;0,57%
21.04.2023;3.160,00;3.170,00;3.170,00;3.160,00;33,17K;-0,60%
20.04.2023;3.179,00;3.210,00;3.210,00;3.170,00;135,68K;-0,34%
19.04.2023;3.190,00;3.160,00;3.225,00;3.145,00;230,42K;-0,19%
18.04.2023;3.196,00;3.200,00;3.200,00;3.180,00;157,65K;0,09%
17.04.2023;3.193,00;3.180,00;3.250,00;3.180,00;576,50K;0,41%
14.04.2023;3.180,00;3.136,00;3.188,00;3.136,00;345,30K;1,50%
13.04.2023;3.133,00;3.133,00;3.138,00;3.110,00;131,98K;0,00%
12.04.2023;3.133,00;3.150,00;3.150,00;3.133,00;66,80K;-0,54%
11.04.2023;3.150,00;3.130,00;3.180,00;3.130,00;1,11M;-0,63%
10.04.2023;3.170,00;3.080,00;3.179,00;3.079,00;528,46K;2,59%
05.04.2023;3.090,00;3.090,00;3.090,00;3.080,00;252,39K;0,00%
04.04.2023;3.090,00;3.090,00;3.090,00;3.050,00;490,40K;1,31%
03.04.2023;3.050,00;3.044,00;3.077,00;3.041,00;297,62K;1,06%
31.03.2023;3.018,00;2.981,00;3.050,00;2.981,00;431,69K;1,28%
30.03.2023;2.980,00;2.950,00;3.000,00;2.950,00;4,74M;1,12%
29.03.2023;2.947,00;3.040,00;3.040,00;2.947,00;3,03M;-1,60%
28.03.2023;2.995,00;3.000,00;3.008,00;2.995,00;65,16K;-0,13%
27.03.2023;2.999,00;3.000,00;3.030,00;2.963,00;169,49K;0,13%
24.03.2023;2.995,00;3.030,00;3.050,00;2.960,00;143,37K;-0,47%
23.03.2023;3.009,00;3.045,00;3.047,00;2.970,00;115,92K;-0,17%
22.03.2023;3.014,00;3.063,00;3.064,00;3.014,00;336,83K;-1,02%
21.03.2023;3.045,00;2.950,00;3.060,00;2.900,00;1,34M;1,57%
17.03.2023;2.998,00;3.091,00;3.109,00;2.998,00;20,09M;-2,98%
16.03.2023;3.090,00;3.090,00;3.140,00;3.090,00;174,62K;0,00%
15.03.2023;3.090,00;3.040,00;3.090,00;3.040,00;993,32K;1,64%
14.03.2023;3.040,00;3.000,00;3.040,00;2.993,00;818,70K;1,33%
13.03.2023;3.000,00;2.915,00;3.000,00;2.903,00;199,35K;1,52%
10.03.2023;2.955,00;2.905,00;2.970,00;2.905,00;194,93K;0,17%
09.03.2023;2.950,00;2.950,00;2.954,00;2.930,00;727,89K;0,00%
08.03.2023;2.950,00;2.900,00;2.975,00;2.900,00;280,57K;1,90%
07.03.2023;2.895,00;2.930,00;2.930,00;2.870,00;163,20K;-1,53%
06.03.2023;2.940,00;2.950,00;2.950,00;2.900,00;116,38K;-0,34%
03.03.2023;2.950,00;2.980,00;3.005,00;2.950,00;131,52K;-1,01%
02.03.2023;2.980,00;2.806,00;3.099,00;2.801,00;149,26K;0,00%
01.03.2023;2.980,00;3.035,00;3.079,00;2.950,00;3,77M;-1,06%
28.02.2023;3.012,00;3.079,00;3.177,00;3.012,00;5,63M;-0,59%
27.02.2023;3.030,00;2.964,00;3.069,00;2.964,00;757,72K;2,23%
24.02.2023;2.964,00;2.965,00;2.969,00;2.900,00;260,42K;2,21%
23.02.2023;2.900,00;2.833,00;2.900,00;2.833,00;416,90K;3,53%
22.02.2023;2.801,00;2.797,00;2.835,00;2.796,00;301,52K;0,14%
21.02.2023;2.797,00;2.837,00;2.880,00;2.750,00;1,11M;1,93%
20.02.2023;2.744,00;2.750,00;2.750,00;2.605,00;231,89K;-3,72%
17.02.2023;2.850,00;2.880,00;2.880,00;2.800,00;166,96K;0,00%
16.02.2023;2.850,00;2.800,00;2.870,00;2.800,00;254,65K;2,04%
15.02.2023;2.793,00;2.755,00;2.850,00;2.755,00;403,72K;-3,69%
14.02.2023;2.900,00;2.762,00;2.920,00;2.730,00;1,23M;0,10%
13.02.2023;2.897,00;2.862,00;2.897,00;2.790,00;176,20K;1,29%
10.02.2023;2.860,00;2.900,00;2.900,00;2.860,00;78,76K;-1,04%
09.02.2023;2.890,00;3.001,00;3.040,00;2.810,00;566,25K;-3,70%
08.02.2023;3.001,00;3.148,00;3.148,00;3.000,00;1,19M;-4,73%
07.02.2023;3.150,00;3.225,00;3.225,00;3.120,00;135,67K;1,61%
06.02.2023;3.100,00;3.268,00;3.268,00;3.100,00;26,85K;-3,13%
03.02.2023;3.200,00;3.200,00;3.201,00;3.100,00;622,59K;0,00%
02.02.2023;3.200,00;3.186,00;3.200,00;3.158,00;167,11K;0,00%
01.02.2023;3.200,00;3.200,00;3.200,00;3.194,00;212,67K;-0,40%
31.01.2023;3.213,00;3.200,00;3.230,00;3.121,00;334,05K;0,41%
30.01.2023;3.200,00;3.121,00;3.279,00;3.121,00;75,80K;-1,54%
27.01.2023;3.250,00;3.315,00;3.315,00;3.250,00;186,27K;0,00%
26.01.2023;3.250,00;3.418,00;3.418,00;3.250,00;280,83K;-0,03%
25.01.2023;3.251,00;3.335,00;3.341,00;3.220,00;184,60K;-4,38%
24.01.2023;3.400,00;3.500,00;3.500,00;3.322,00;299,81K;-2,86%
23.01.2023;3.500,00;3.598,00;3.600,00;3.480,00;330,17K;-2,43%
20.01.2023;3.587,00;3.560,00;3.587,00;3.560,00;36,18K;0,76%
19.01.2023;3.560,00;3.584,00;3.584,00;3.560,00;80,70K;-0,67%
18.01.2023;3.584,00;3.650,00;3.650,00;3.560,00;362,73K;-1,81%
17.01.2023;3.650,00;3.662,00;3.740,00;3.650,00;56,18K;-1,35%
13.01.2023;3.700,00;3.600,00;3.700,00;3.600,00;28,52K;0,52%
12.01.2023;3.681,00;3.780,00;3.800,00;3.681,00;577,09K;-2,39%
11.01.2023;3.771,00;3.845,00;3.845,00;3.704,00;388,37K;-0,61%
10.01.2023;3.794,00;3.680,00;3.794,00;3.660,00;533,11K;3,10%
06.01.2023;3.680,00;3.700,00;3.700,00;3.678,00;45,72K;0,00%
05.01.2023;3.680,00;3.720,00;3.720,00;3.660,00;140,18K;0,57%
04.01.2023;3.659,00;3.700,00;3.700,00;3.650,00;80,11K;1,36%
03.01.2023;3.610,00;3.700,00;3.730,00;3.610,00;113,31K;-2,43%
02.01.2023;3.700,00;3.700,00;3.700,00;3.700,00;20,13K;2,78%
29.12.2022;3.600,00;3.726,00;3.765,00;3.600,00;100,34K;-3,41%
28.12.2022;3.727,00;3.600,00;3.727,00;3.595,00;129,93K;1,00%
27.12.2022;3.690,00;3.600,00;3.690,00;3.550,00;92,63K;2,50%
26.12.2022;3.600,00;3.316,00;3.600,00;3.300,00;50,70K;1,69%
23.12.2022;3.540,00;3.540,00;3.540,00;3.540,00;4,68K;-0,56%
22.12.2022;3.560,00;3.560,00;3.560,00;3.560,00;16,58K;1,71%
21.12.2022;3.500,00;3.400,00;3.500,00;3.400,00;83,70K;2,94%
20.12.2022;3.400,00;3.450,00;3.450,00;3.400,00;154,51K;-2,35%
19.12.2022;3.482,00;3.480,00;3.482,00;3.480,00;40,58K;0,06%
16.12.2022;3.480,00;3.479,00;3.481,00;3.479,00;877,43K;-0,06%
15.12.2022;3.482,00;3.461,00;3.505,00;3.461,00;75,80K;-2,87%
14.12.2022;3.585,00;3.673,00;3.673,00;3.500,00;133,45K;-2,40%
13.12.2022;3.673,00;3.630,00;3.679,00;3.630,00;128,39K;-0,05%
12.12.2022;3.675,00;3.697,00;3.697,00;3.601,00;119,24K;-0,62%
09.12.2022;3.698,00;3.667,00;3.719,00;3.667,00;123,91K;0,85%
07.12.2022;3.667,00;3.670,00;3.737,00;3.621,00;314,02K;-2,08%
06.12.2022;3.745,00;3.700,00;3.745,00;3.679,00;588,21K;1,22%
05.12.2022;3.700,00;3.779,00;3.779,00;3.650,00;90,55K;-2,12%
02.12.2022;3.780,00;3.760,00;3.800,00;3.760,00;258,33K;0,80%
01.12.2022;3.750,00;3.550,00;3.766,00;3.550,00;1,60M;7,05%
30.11.2022;3.503,00;3.799,00;3.799,00;3.503,00;427,83K;-7,74%
29.11.2022;3.797,00;3.790,00;3.810,00;3.790,00;579,14K;-0,08%
28.11.2022;3.800,00;3.655,00;3.800,00;3.649,00;100,42K;0,82%
25.11.2022;3.769,00;3.926,00;3.926,00;3.761,00;73,44K;-0,82%
24.11.2022;3.800,00;3.720,00;3.801,00;3.720,00;45,46K;-0,47%
23.11.2022;3.818,00;3.846,00;3.850,00;3.750,00;92,54K;0,45%
22.11.2022;3.801,00;3.723,00;3.801,00;3.723,00;107,28K;-1,27%
18.11.2022;3.850,00;3.870,00;3.900,00;3.800,00;89,34K;-0,26%
17.11.2022;3.860,00;3.801,00;3.870,00;3.762,00;165,06K;-0,26%
16.11.2022;3.870,00;3.780,00;3.960,00;3.620,00;691,91K;2,93%
15.11.2022;3.760,00;3.481,00;3.790,00;3.481,00;369,78K;9,94%
11.11.2022;3.420,00;3.370,00;3.510,00;3.345,00;378,98K;2,09%
10.11.2022;3.350,00;3.199,00;3.350,00;3.199,00;104,26K;4,72%
09.11.2022;3.199,00;3.248,00;3.248,00;3.199,00;257,43K;-1,23%
08.11.2022;3.239,00;3.200,00;3.240,00;3.200,00;108,93K;1,54%
04.11.2022;3.190,00;3.198,00;3.218,00;3.110,00;140,83K;-0,28%
03.11.2022;3.199,00;3.229,00;3.229,00;3.119,00;33,25K;-0,03%
02.11.2022;3.200,00;3.339,00;3.339,00;3.196,00;242,95K;-4,16%
01.11.2022;3.339,00;3.330,00;3.436,00;3.256,00;223,70K;0,27%
31.10.2022;3.330,00;3.160,00;3.341,00;3.160,00;57,01K;0,30%
28.10.2022;3.320,00;3.200,00;3.330,00;3.198,00;192,11K;3,78%
27.10.2022;3.199,00;3.100,00;3.199,00;3.100,00;138,56K;0,28%
26.10.2022;3.190,00;3.110,00;3.215,00;3.110,00;119,27K;2,90%
25.10.2022;3.100,00;3.000,00;3.130,00;3.000,00;78,72K;3,23%
24.10.2022;3.003,00;3.100,00;3.200,00;3.003,00;202,50K;-3,13%
21.10.2022;3.100,00;3.101,00;3.101,00;2.801,00;99,67K;-0,06%
20.10.2022;3.102,00;3.237,00;3.240,00;3.102,00;101,31K;-3,96%
19.10.2022;3.230,00;3.158,00;3.245,00;3.157,00;138,84K;3,19%
18.10.2022;3.130,00;3.200,00;3.200,00;3.100,00;163,20K;-3,69%
14.10.2022;3.250,00;3.145,00;3.250,00;3.110,00;256,68K;2,17%
13.10.2022;3.181,00;3.320,00;3.320,00;3.180,00;193,90K;-4,33%
12.10.2022;3.325,00;3.327,00;3.327,00;3.325,00;7,36K;-0,09%
11.10.2022;3.328,00;3.172,00;3.350,00;3.100,00;126,02K;-2,95%
10.10.2022;3.429,00;3.427,00;3.429,00;3.380,00;23,48K;0,06%
07.10.2022;3.427,00;3.500,00;3.500,00;3.400,00;89,99K;-1,24%
06.10.2022;3.470,00;3.600,00;3.684,00;3.470,00;145,42K;-3,61%
05.10.2022;3.600,00;3.510,00;3.600,00;3.430,00;256,04K;2,86%
04.10.2022;3.500,00;3.400,00;3.500,00;3.400,00;280,55K;2,94%
03.10.2022;3.400,00;3.475,00;3.476,00;3.400,00;25,87K;0,59%
30.09.2022;3.380,00;3.299,00;3.400,00;3.299,00;199,43K;2,86%
29.09.2022;3.286,00;3.260,00;3.286,00;3.183,00;150,42K;0,80%
28.09.2022;3.260,00;3.260,00;3.260,00;3.260,00;26,81K;-2,04%
27.09.2022;3.328,00;3.280,00;3.328,00;3.201,00;88,25K;4,98%
26.09.2022;3.170,00;3.350,00;3.350,00;3.170,00;124,45K;-6,76%
23.09.2022;3.400,00;3.502,00;3.502,00;3.400,00;160,31K;-5,56%
22.09.2022;3.600,00;3.704,00;3.707,00;3.600,00;88,22K;-2,96%
21.09.2022;3.710,00;3.840,00;3.965,00;3.606,00;195,01K;-2,37%
20.09.2022;3.800,00;3.900,00;3.900,00;3.800,00;140,95K;-2,56%
19.09.2022;3.900,00;3.950,00;3.963,00;3.854,00;247,46K;-5,96%
16.09.2022;4.147,00;3.651,00;4.147,00;3.601,00;1,81M;10,00%
15.09.2022;3.770,00;3.800,00;3.800,00;3.601,00;897,86K;-0,53%
14.09.2022;3.790,00;3.701,00;3.805,00;3.701,00;343,39K;-0,79%
13.09.2022;3.820,00;3.770,00;3.838,00;3.770,00;867,76K;0,53%
12.09.2022;3.800,00;3.800,00;3.800,00;3.780,00;98,19K;0,03%
09.09.2022;3.799,00;3.700,00;3.800,00;3.700,00;698,52K;3,23%
07.09.2022;3.680,00;3.695,00;3.725,00;3.621,00;96,40K;0,03%
06.09.2022;3.679,00;3.600,00;3.700,00;3.600,00;305,77K;-0,43%
05.09.2022;3.695,00;3.610,00;3.695,00;3.600,00;82,45K;2,38%
02.09.2022;3.609,00;3.585,00;3.620,00;3.585,00;122,33K;0,67%
01.09.2022;3.585,00;3.485,00;3.585,00;3.485,00;111,13K;2,75%
31.08.2022;3.489,00;3.350,00;3.489,00;3.335,00;395,03K;4,15%
30.08.2022;3.350,00;3.450,00;3.450,00;3.350,00;44,80K;-2,93%
29.08.2022;3.451,00;3.500,00;3.500,00;3.451,00;199,42K;-0,92%
26.08.2022;3.483,00;3.550,00;3.550,00;3.483,00;254,96K;-0,91%
25.08.2022;3.515,00;3.520,00;3.582,00;3.510,00;222,15K;-0,28%
24.08.2022;3.525,00;3.700,00;3.750,00;3.525,00;329,43K;-2,08%
23.08.2022;3.600,00;3.750,00;3.750,00;3.600,00;81,40K;-3,87%
22.08.2022;3.745,00;3.805,00;3.810,00;3.745,00;108,52K;-0,95%
19.08.2022;3.781,00;3.750,00;3.781,00;3.720,00;183,09K;0,03%
18.08.2022;3.780,00;3.800,00;3.804,00;3.710,00;2,12M;0,00%
17.08.2022;3.780,00;3.805,00;3.805,00;3.756,00;1,71M;0,80%
16.08.2022;3.750,00;3.780,00;3.816,00;3.750,00;322,82K;-0,53%
12.08.2022;3.770,00;3.780,00;3.790,00;3.770,00;61,74K;-1,05%
11.08.2022;3.810,00;3.751,00;3.890,00;3.751,00;320,79K;1,57%
10.08.2022;3.751,00;3.850,00;3.880,00;3.751,00;174,87K;-1,73%
09.08.2022;3.817,00;3.880,00;3.900,00;3.817,00;108,81K;-2,13%
08.08.2022;3.900,00;3.895,00;3.927,00;3.850,00;359,90K;2,63%
05.08.2022;3.800,00;3.761,00;3.800,00;3.750,00;78,90K;0,00%
04.08.2022;3.800,00;3.805,00;3.805,00;3.750,00;50,56K;0,00%
03.08.2022;3.800,00;3.929,00;3.930,00;3.800,00;151,01K;-0,39%
02.08.2022;3.815,00;3.900,00;3.900,00;3.811,00;267,97K;-2,18%
01.08.2022;3.900,00;3.991,00;3.991,00;3.900,00;133,85K;0,00%
29.07.2022;3.900,00;4.000,00;4.000,00;3.900,00;241,68K;-2,01%
28.07.2022;3.980,00;4.000,00;4.000,00;3.943,00;408,79K;2,03%
27.07.2022;3.901,00;3.960,00;3.970,00;3.870,00;72,72K;0,03%
26.07.2022;3.900,00;4.097,00;4.097,00;3.830,00;112,24K;-2,50%
25.07.2022;4.000,00;3.800,00;4.000,00;3.800,00;237,72K;5,26%
22.07.2022;3.800,00;3.950,00;4.100,00;3.800,00;177,20K;-4,52%
21.07.2022;3.980,00;4.100,00;4.100,00;3.921,00;441,60K;-1,49%
19.07.2022;4.040,00;4.300,00;4.300,00;4.020,00;236,67K;-0,02%
18.07.2022;4.041,00;4.005,00;4.080,00;4.003,00;169,53K;-2,86%
15.07.2022;4.160,00;4.000,00;4.160,00;4.000,00;221,40K;4,00%
14.07.2022;4.000,00;4.230,00;4.230,00;3.970,00;346,41K;-5,90%
13.07.2022;4.251,00;4.395,00;4.469,00;4.250,00;78,41K;-2,28%
12.07.2022;4.350,00;4.310,00;4.400,00;4.290,00;242,34K;0,23%
11.07.2022;4.340,00;4.400,00;4.445,00;4.340,00;418,27K;-0,46%
08.07.2022;4.360,00;4.470,00;4.471,00;4.350,00;203,37K;-2,68%
07.07.2022;4.480,00;4.400,00;4.510,00;4.400,00;94,40K;1,82%
06.07.2022;4.400,00;4.600,00;4.600,00;4.400,00;452,01K;-3,93%
05.07.2022;4.580,00;4.670,00;4.690,00;4.560,00;158,49K;-1,08%
01.07.2022;4.630,00;4.700,00;4.740,00;4.561,00;66,02K;-0,22%
30.06.2022;4.640,00;4.650,00;4.695,00;4.560,00;118,18K;0,87%
29.06.2022;4.600,00;4.664,00;4.690,00;4.521,00;135,40K;-4,17%
28.06.2022;4.800,00;4.750,00;4.800,00;4.650,00;186,43K;1,07%
24.06.2022;4.749,00;4.890,00;5.000,00;4.611,00;334,01K;3,24%
23.06.2022;4.600,00;4.890,00;4.890,00;4.580,00;124,78K;-5,93%
22.06.2022;4.890,00;4.830,00;4.890,00;4.770,00;186,34K;0,82%
21.06.2022;4.850,00;4.790,00;4.850,00;4.500,00;298,26K;0,00%
17.06.2022;4.850,00;5.100,00;5.100,00;4.850,00;684,33K;-4,72%
16.06.2022;5.090,00;4.900,00;5.090,00;4.851,00;78,66K;3,46%
15.06.2022;4.920,00;5.110,00;5.110,00;4.920,00;472,91K;-3,53%
14.06.2022;5.100,00;4.980,00;5.100,00;4.980,00;144,82K;2,99%
13.06.2022;4.952,00;5.180,00;5.180,00;4.952,00;194,63K;-6,39%
10.06.2022;5.290,00;5.150,00;5.290,00;5.100,00;230,62K;1,93%
09.06.2022;5.190,00;5.500,00;5.500,00;5.190,00;204,39K;-5,72%
08.06.2022;5.505,00;5.590,00;5.590,00;5.500,00;398,15K;-2,05%
07.06.2022;5.620,00;5.700,00;5.700,00;5.490,00;399,42K;-1,40%
06.06.2022;5.700,00;5.800,00;5.895,00;5.700,00;190,87K;-1,38%
03.06.2022;5.780,00;5.545,00;5.845,00;5.545,00;447,49K;2,30%
02.06.2022;5.650,00;5.500,00;5.650,00;5.500,00;641,69K;2,73%
01.06.2022;5.500,00;5.595,00;5.655,00;5.350,00;660,49K;0,00%
31.05.2022;5.500,00;5.095,00;5.540,00;5.095,00;881,78K;10,02%
27.05.2022;4.999,00;5.165,00;5.165,00;4.650,00;88,95K;0,38%
26.05.2022;4.980,00;4.950,00;5.195,00;4.950,00;93,95K;0,61%
25.05.2022;4.950,00;5.140,00;5.210,00;4.760,00;124,29K;-3,13%
24.05.2022;5.110,00;5.280,00;5.280,00;5.070,00;109,66K;-3,58%
23.05.2022;5.300,00;5.150,00;5.375,00;5.100,00;195,65K;4,54%
20.05.2022;5.070,00;4.890,00;5.100,00;4.747,00;541,53K;7,87%
19.05.2022;4.700,00;4.987,00;4.987,00;4.634,00;339,66K;-6,00%
18.05.2022;5.000,00;5.065,00;5.090,00;4.951,00;236,85K;-1,28%
17.05.2022;5.065,00;5.335,00;5.340,00;5.065,00;654,63K;-0,10%
16.05.2022;5.070,00;5.050,00;5.115,00;5.050,00;158,41K;0,20%
13.05.2022;5.060,00;5.090,00;5.110,00;5.050,00;191,31K;0,40%
