Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;14.850,00;14.970,00;14.970,00;14.700,00;10,04K;1,02%
29.06.2023;14.700,00;14.980,00;14.980,00;14.700,00;23,62K;0,00%
28.06.2023;14.700,00;14.790,00;14.800,00;14.700,00;10,98K;-0,20%
27.06.2023;14.730,00;14.730,00;14.730,00;14.500,00;63,08K;3,73%
26.06.2023;14.200,00;14.210,00;14.350,00;14.200,00;11,57K;-1,39%
23.06.2023;14.400,00;14.250,00;14.400,00;14.250,00;3,91K;0,00%
22.06.2023;14.400,00;14.400,00;14.400,00;14.380,00;5,63K;-0,35%
21.06.2023;14.450,00;14.960,00;14.960,00;14.450,00;11,10K;-3,54%
20.06.2023;14.980,00;14.990,00;14.990,00;14.980,00;8,25K;-0,13%
16.06.2023;15.000,00;15.040,00;15.280,00;15.000,00;8,69K;-3,16%
15.06.2023;15.490,00;15.500,00;15.500,00;14.430,00;12,62K;-0,06%
14.06.2023;15.500,00;15.400,00;15.500,00;15.350,00;177,31K;0,65%
13.06.2023;15.400,00;15.280,00;15.400,00;15.050,00;124,11K;0,79%
09.06.2023;15.280,00;15.180,00;15.280,00;15.020,00;22,67K;1,13%
08.06.2023;15.110,00;15.260,00;15.260,00;15.110,00;33,32K;-1,18%
07.06.2023;15.290,00;15.430,00;15.430,00;14.910,00;57,87K;-0,46%
06.06.2023;15.360,00;14.700,00;15.360,00;14.700,00;103,77K;4,63%
05.06.2023;14.680,00;14.450,00;14.680,00;14.450,00;29,30K;1,31%
02.06.2023;14.490,00;14.390,00;14.490,00;14.350,00;25,20K;0,63%
01.06.2023;14.400,00;14.000,00;14.400,00;14.000,00;86,00K;0,00%
31.05.2023;14.400,00;13.850,00;14.400,00;13.850,00;1,04M;4,65%
30.05.2023;13.760,00;13.300,00;13.780,00;13.300,00;36,64K;0,44%
29.05.2023;13.700,00;13.780,00;13.870,00;13.700,00;32,45K;1,11%
26.05.2023;13.550,00;13.570,00;13.780,00;13.500,00;36,93K;0,22%
25.05.2023;13.520,00;13.580,00;13.580,00;13.120,00;11,52K;-0,29%
24.05.2023;13.560,00;13.490,00;13.560,00;13.400,00;29,10K;1,19%
23.05.2023;13.400,00;13.200,00;13.500,00;13.200,00;49,63K;3,08%
19.05.2023;13.000,00;13.200,00;13.200,00;13.000,00;16,74K;-3,35%
18.05.2023;13.450,00;13.450,00;13.450,00;13.450,00;2,74K;-0,15%
17.05.2023;13.470,00;13.520,00;13.520,00;13.470,00;3,85K;1,35%
16.05.2023;13.290,00;13.410,00;13.520,00;13.290,00;46,14K;-0,75%
15.05.2023;13.390,00;13.420,00;13.420,00;13.110,00;9,28K;1,29%
12.05.2023;13.220,00;13.400,00;13.400,00;13.220,00;31,70K;-1,78%
11.05.2023;13.460,00;13.500,00;13.790,00;13.400,00;46,13K;0,00%
10.05.2023;13.460,00;13.260,00;13.480,00;13.200,00;230,00K;3,30%
09.05.2023;13.030,00;13.000,00;13.030,00;13.000,00;15,27K;1,01%
08.05.2023;12.900,00;13.290,00;13.400,00;12.900,00;131,65K;-2,93%
05.05.2023;13.290,00;13.250,00;13.290,00;13.250,00;3,66K;1,61%
04.05.2023;13.080,00;12.610,00;13.100,00;12.580,00;77,09K;-0,15%
03.05.2023;13.100,00;13.110,00;13.200,00;13.000,00;25,57K;-0,08%
02.05.2023;13.110,00;13.000,00;13.260,00;13.000,00;99,18K;-1,35%
28.04.2023;13.290,00;12.910,00;13.290,00;12.910,00;29,15K;3,75%
27.04.2023;12.810,00;12.810,00;13.000,00;12.710,00;205,66K;-2,95%
26.04.2023;13.200,00;13.140,00;13.290,00;13.140,00;38,21K;0,38%
25.04.2023;13.150,00;13.000,00;13.150,00;12.940,00;49,05K;1,15%
24.04.2023;13.000,00;12.600,00;13.120,00;12.580,00;66,72K;2,36%
21.04.2023;12.700,00;12.440,00;12.740,00;12.440,00;16,99K;-1,24%
20.04.2023;12.860,00;12.860,00;12.860,00;12.800,00;14,84K;-1,83%
19.04.2023;13.100,00;13.120,00;13.120,00;12.870,00;12,19K;-1,36%
18.04.2023;13.280,00;13.400,00;13.660,00;13.080,00;140,53K;-0,90%
17.04.2023;13.400,00;13.000,00;13.400,00;12.950,00;29,97K;3,08%
14.04.2023;13.000,00;13.340,00;13.340,00;13.000,00;80,41K;-2,11%
13.04.2023;13.280,00;12.820,00;13.350,00;12.800,00;82,38K;7,10%
12.04.2023;12.400,00;11.700,00;12.400,00;11.700,00;255,73K;5,98%
11.04.2023;11.700,00;11.700,00;11.700,00;11.500,00;68,84K;0,17%
10.04.2023;11.680,00;11.500,00;11.680,00;11.450,00;107,92K;0,69%
05.04.2023;11.600,00;11.550,00;11.600,00;11.550,00;13,35K;0,87%
04.04.2023;11.500,00;11.510,00;11.700,00;11.470,00;105,72K;0,17%
03.04.2023;11.480,00;11.480,00;11.480,00;11.480,00;6,63K;0,00%
31.03.2023;11.480,00;11.490,00;11.490,00;11.310,00;15,26K;1,50%
30.03.2023;11.310,00;11.440,00;11.440,00;11.260,00;99,12K;-0,96%
29.03.2023;11.420,00;11.400,00;11.420,00;11.200,00;29,93K;0,18%
28.03.2023;11.400,00;10.980,00;11.400,00;10.980,00;144,32K;3,64%
27.03.2023;11.000,00;11.240,00;11.360,00;11.000,00;13,60K;-2,14%
24.03.2023;11.240,00;10.700,00;11.240,00;10.600,00;46,19K;3,02%
23.03.2023;10.910,00;11.140,00;11.140,00;10.850,00;25,63K;-3,45%
22.03.2023;11.300,00;11.300,00;11.400,00;11.210,00;18,50K;-0,88%
21.03.2023;11.400,00;11.600,00;11.700,00;11.400,00;39,18K;-2,98%
17.03.2023;11.750,00;11.900,00;12.200,00;11.720,00;170,34K;-1,26%
16.03.2023;11.900,00;11.700,00;12.000,00;11.590,00;168,11K;2,67%
