Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;2.140,00;2.155,00;2.157,00;2.138,00;2,79M;-0,60%
29.06.2023;2.153,00;2.152,00;2.160,00;2.132,00;3,89M;0,14%
28.06.2023;2.150,00;2.150,00;2.150,00;2.130,00;1,73M;0,47%
27.06.2023;2.140,00;2.175,00;2.176,00;2.140,00;2,53M;-2,06%
26.06.2023;2.185,00;2.140,00;2.185,00;2.140,00;1,25M;2,10%
23.06.2023;2.140,00;2.133,00;2.178,00;2.130,00;2,06M;-0,37%
22.06.2023;2.148,00;2.148,00;2.190,00;2.139,00;2,22M;-1,69%
21.06.2023;2.185,00;2.160,00;2.205,00;2.160,00;4,02M;2,39%
20.06.2023;2.134,00;2.151,00;2.164,00;2.110,00;5,48M;-3,00%
16.06.2023;2.200,00;2.170,00;2.200,00;2.140,00;9,26M;2,18%
15.06.2023;2.153,00;2.160,00;2.194,00;2.153,00;2,79M;0,47%
14.06.2023;2.143,00;2.164,00;2.164,00;2.132,00;1,53M;0,42%
13.06.2023;2.134,00;2.150,00;2.188,00;2.126,00;2,00M;-1,75%
09.06.2023;2.172,00;2.141,00;2.198,00;2.136,00;2,30M;0,05%
08.06.2023;2.171,00;2.176,00;2.180,00;2.132,00;3,05M;0,05%
07.06.2023;2.170,00;2.145,00;2.196,00;2.143,00;2,72M;1,26%
06.06.2023;2.143,00;2.085,00;2.143,00;2.049,00;2,78M;2,54%
05.06.2023;2.090,00;2.129,00;2.168,00;2.081,00;1,65M;-1,23%
02.06.2023;2.116,00;2.112,00;2.121,00;2.090,00;2,06M;2,52%
01.06.2023;2.064,00;2.036,00;2.105,00;2.036,00;1,73M;1,38%
31.05.2023;2.036,00;2.008,00;2.036,00;1.980,00;3,24M;0,99%
30.05.2023;2.016,00;2.070,00;2.070,00;1.990,00;5,55M;-2,14%
29.05.2023;2.060,00;2.065,00;2.080,00;2.051,00;294,34K;-0,24%
26.05.2023;2.065,00;2.090,00;2.096,00;2.041,00;992,71K;-1,01%
25.05.2023;2.086,00;2.085,00;2.092,00;2.061,00;1,85M;-1,37%
24.05.2023;2.115,00;2.134,00;2.136,00;2.091,00;1,38M;-0,28%
23.05.2023;2.121,00;2.140,00;2.168,00;2.113,00;2,04M;-0,66%
19.05.2023;2.135,00;2.115,00;2.142,00;2.112,00;2,16M;1,04%
18.05.2023;2.113,00;2.110,00;2.113,00;2.069,00;2,98M;0,43%
17.05.2023;2.104,00;2.097,00;2.128,00;2.087,00;3,51M;1,94%
16.05.2023;2.064,00;2.100,00;2.112,00;2.060,00;2,89M;-1,20%
15.05.2023;2.089,00;2.101,00;2.117,00;2.080,00;1,90M;-1,69%
12.05.2023;2.125,00;2.108,00;2.140,00;2.088,00;4,62M;1,67%
11.05.2023;2.090,00;2.090,00;2.111,00;2.050,00;5,74M;0,53%
10.05.2023;2.079,00;2.100,00;2.100,00;2.065,00;1,63M;-0,38%
09.05.2023;2.087,00;2.022,00;2.095,00;2.020,00;3,49M;1,31%
08.05.2023;2.060,00;2.113,00;2.113,00;2.052,00;2,88M;-1,01%
05.05.2023;2.081,00;2.050,00;2.100,00;2.050,00;5,99M;4,57%
04.05.2023;1.990,00;2.045,00;2.050,00;1.984,00;9,88M;-2,69%
03.05.2023;2.045,00;2.050,00;2.076,00;2.005,00;8,04M;-1,35%
02.05.2023;2.073,00;2.202,00;2.208,00;2.067,00;13,82M;-9,40%
28.04.2023;2.288,00;2.188,00;2.300,00;2.180,00;5,60M;4,57%
27.04.2023;2.188,00;2.180,00;2.208,00;2.150,00;7,47M;-0,41%
26.04.2023;2.197,00;2.240,00;2.241,00;2.160,00;17,87M;-1,70%
