Fecha;Último;Apertura;Máximo;Mínimo;Vol.;%var.
30.06.2023;70.010,00;70.010,00;70.010,00;70.010,00;0,21K;-4,10%
28.06.2023;73.000,00;73.000,00;73.000,00;73.000,00;2,04K;0,00%
27.06.2023;73.000,00;72.850,00;73.000,00;72.850,00;1,48K;0,10%
23.06.2023;72.930,00;72.930,00;72.930,00;72.930,00;0,32K;-0,01%
22.06.2023;72.940,00;72.940,00;72.940,00;72.940,00;0,25K;3,90%
20.06.2023;70.200,00;70.260,00;70.260,00;70.200,00;13,96K;-0,01%
16.06.2023;70.210,00;70.740,00;70.740,00;70.210,00;0,40K;-6,26%
15.06.2023;74.900,00;74.900,00;74.900,00;74.900,00;0,26K;-0,11%
14.06.2023;74.980,00;74.980,00;74.980,00;74.980,00;0,88K;0,00%
13.06.2023;74.980,00;74.000,00;74.980,00;74.000,00;0,42K;-0,03%
09.06.2023;75.000,00;74.980,00;75.000,00;74.980,00;1,05K;0,00%
07.06.2023;75.000,00;72.130,00;75.000,00;72.110,00;2,11K;-1,32%
06.06.2023;76.000,00;71.500,00;76.000,00;71.500,00;5,96K;6,29%
05.06.2023;71.500,00;71.500,00;71.500,00;71.500,00;1,46K;0,00%
02.06.2023;71.500,00;71.500,00;71.500,00;71.500,00;0,64K;2,14%
01.06.2023;70.000,00;70.000,00;70.000,00;70.000,00;1,85K;-0,14%
31.05.2023;70.100,00;68.000,00;70.100,00;68.000,00;7,63K;1,59%
30.05.2023;69.000,00;69.000,00;69.000,00;69.000,00;4,86K;1,47%
29.05.2023;68.000,00;66.000,00;68.000,00;66.000,00;1,29K;0,00%
26.05.2023;68.000,00;66.800,00;68.000,00;66.800,00;18,87K;1,78%
25.05.2023;66.810,00;66.000,00;66.810,00;66.000,00;1,23K;2,00%
24.05.2023;65.500,00;66.000,00;66.000,00;65.500,00;1,79K;0,00%
23.05.2023;65.500,00;65.500,00;65.500,00;65.500,00;0,96K;0,00%
18.05.2023;65.500,00;65.500,00;65.500,00;65.500,00;0,41K;0,00%
17.05.2023;65.500,00;65.500,00;65.500,00;65.500,00;1,24K;0,00%
16.05.2023;65.500,00;65.000,00;65.500,00;65.000,00;2,87K;2,33%
12.05.2023;64.010,00;64.010,00;64.010,00;64.010,00;0,30K;0,00%
11.05.2023;64.010,00;64.010,00;64.010,00;64.010,00;0,77K;0,00%
10.05.2023;64.010,00;64.010,00;64.010,00;64.010,00;0,37K;0,00%
08.05.2023;64.010,00;64.010,00;64.010,00;64.010,00;0,44K;0,00%
05.05.2023;64.010,00;64.000,00;64.010,00;64.000,00;1,06K;0,02%
04.05.2023;64.000,00;63.990,00;64.000,00;63.990,00;6,13K;4,75%
03.05.2023;61.100,00;61.180,00;61.180,00;61.100,00;2,34K;0,00%
02.05.2023;61.100,00;61.100,00;61.100,00;61.100,00;0,94K;-2,86%
28.04.2023;62.900,00;62.800,00;63.000,00;62.800,00;2,10K;0,10%
27.04.2023;62.840,00;60.210,00;62.840,00;60.210,00;1,06K;3,02%
26.04.2023;61.000,00;61.000,00;61.000,00;61.000,00;0,79K;0,00%
24.04.2023;61.000,00;61.000,00;61.000,00;61.000,00;0,81K;1,57%
21.04.2023;60.060,00;61.000,00;61.000,00;60.060,00;17,16K;-1,54%
19.04.2023;61.000,00;60.100,00;61.000,00;60.100,00;0,73K;1,45%
18.04.2023;60.130,00;61.000,00;61.000,00;60.130,00;0,63K;0,22%
10.04.2023;60.000,00;60.000,00;60.000,00;60.000,00;0,70K;0,00%
05.04.2023;60.000,00;61.000,00;61.000,00;60.000,00;0,93K;2,27%
03.04.2023;58.670,00;58.670,00;58.670,00;58.670,00;0,46K;-3,82%
31.03.2023;61.000,00;61.000,00;61.000,00;61.000,00;0,49K;0,00%
30.03.2023;61.000,00;60.980,00;61.000,00;60.980,00;1,29K;0,03%
29.03.2023;60.980,00;61.000,00;61.000,00;60.980,00;5,20K;-0,03%
28.03.2023;61.000,00;61.000,00;62.000,00;61.000,00;6,19K;0,00%
27.03.2023;61.000,00;61.000,00;61.000,00;61.000,00;36,23K;0,00%
24.03.2023;61.000,00;61.000,00;61.000,00;59.000,00;7,94K;-1,58%
23.03.2023;61.980,00;62.000,00;62.000,00;61.980,00;0,92K;3,30%
22.03.2023;60.000,00;61.000,00;61.000,00;60.000,00;8,35K;-1,64%
17.03.2023;61.000,00;60.000,00;61.390,00;60.000,00;18,70K;0,00%
16.03.2023;61.000,00;61.000,00;61.000,00;61.000,00;0,43K;3,46%
15.03.2023;58.960,00;57.000,00;58.960,00;55.500,00;17,52K;3,08%
13.03.2023;57.200,00;57.300,00;57.300,00;57.000,00;21,64K;0,35%
08.03.2023;57.000,00;57.000,00;57.000,00;57.000,00;1,67K;-1,72%
07.03.2023;58.000,00;58.000,00;58.000,00;58.000,00;2,09K;0,02%
06.03.2023;57.990,00;57.610,00;57.990,00;57.610,00;1,32K;0,68%
03.03.2023;57.600,00;57.600,00;57.600,00;57.600,00;0,47K;1,95%
02.03.2023;56.500,00;56.500,00;56.500,00;56.500,00;0,32K;0,00%
01.03.2023;56.500,00;56.500,00;56.500,00;56.500,00;0,49K;-2,55%
28.02.2023;57.980,00;57.940,00;58.000,00;57.940,00;5,88K;0,00%
27.02.2023;57.980,00;55.020,00;57.980,00;55.020,00;0,92K;-1,73%
22.02.2023;59.000,00;59.000,00;59.000,00;59.000,00;3,18K;-1,34%
16.02.2023;59.800,00;59.800,00;59.800,00;59.800,00;0,39K;-0,08%
15.02.2023;59.850,00;60.000,00;60.000,00;59.850,00;1,77K;1,87%
14.02.2023;58.750,00;59.540,00;59.540,00;58.700,00;1,12K;-3,63%
13.02.2023;60.960,00;60.990,00;60.990,00;60.960,00;22,28K;-0,07%
10.02.2023;61.000,00;60.500,00;61.000,00;60.500,00;5,82K;0,83%
09.02.2023;60.500,00;61.000,00;61.000,00;60.450,00;5,14K;-0,82%
08.02.2023;61.000,00;60.990,00;61.000,00;60.990,00;16,08K;0,00%
07.02.2023;61.000,00;60.350,00;61.000,00;60.350,00;3,50K;1,08%
06.02.2023;60.350,00;60.350,00;60.350,00;60.350,00;0,42K;-1,07%
03.02.2023;61.000,00;60.990,00;61.000,00;60.990,00;2,54K;0,83%
02.02.2023;60.500,00;61.000,00;61.000,00;60.410,00;4,03K;-0,82%
01.02.2023;61.000,00;61.000,00;61.000,00;60.900,00;8,26K;0,00%
31.01.2023;61.000,00;61.000,00;61.000,00;60.380,00;5,47K;0,00%
30.01.2023;61.000,00;60.500,00;61.000,00;60.500,00;1,11K;0,00%
27.01.2023;61.000,00;60.310,00;61.000,00;60.310,00;16,09K;1,14%
26.01.2023;60.310,00;60.310,00;60.310,00;60.310,00;1,00K;-0,25%
25.01.2023;60.460,00;60.500,00;60.500,00;60.310,00;3,24K;-0,07%
24.01.2023;60.500,00;60.500,00;61.000,00;60.500,00;2,13K;-0,02%
23.01.2023;60.510,00;60.500,00;61.800,00;60.500,00;0,73K;-2,20%
20.01.2023;61.870,00;61.000,00;61.870,00;60.000,00;5,28K;-0,18%
19.01.2023;61.980,00;61.000,00;61.980,00;61.000,00;3,17K;1,61%
18.01.2023;61.000,00;61.000,00;61.000,00;61.000,00;0,73K;0,00%
17.01.2023;61.000,00;60.500,00;61.000,00;60.500,00;0,84K;0,49%
13.01.2023;60.700,00;60.700,00;60.700,00;60.700,00;1,91K;-0,48%
12.01.2023;60.990,00;61.000,00;61.000,00;60.990,00;2,78K;-2,26%
11.01.2023;62.400,00;62.400,00;62.400,00;62.400,00;0,56K;1,02%
10.01.2023;61.770,00;61.770,00;61.770,00;61.770,00;0,67K;2,08%
05.01.2023;60.510,00;60.510,00;60.510,00;60.510,00;0,36K;-3,32%
03.01.2023;62.590,00;60.500,00;62.590,00;59.000,00;2,34K;2,61%
29.12.2022;61.000,00;61.000,00;61.000,00;61.000,00;0,26K;0,00%
27.12.2022;61.000,00;61.000,00;61.600,00;61.000,00;66,34K;-0,16%
26.12.2022;61.100,00;61.100,00;61.200,00;61.000,00;9,43K;-0,16%
23.12.2022;61.200,00;61.000,00;61.200,00;61.000,00;10,11K;0,33%
22.12.2022;61.000,00;61.000,00;61.010,00;61.000,00;16,34K;0,00%
21.12.2022;61.000,00;61.000,00;61.000,00;61.000,00;29,59K;0,00%
19.12.2022;61.000,00;61.000,00;61.000,00;61.000,00;0,44K;3,21%
16.12.2022;59.100,00;60.790,00;60.800,00;59.100,00;4,54K;-2,80%
15.12.2022;60.800,00;60.800,00;60.800,00;60.800,00;0,58K;-0,65%
09.12.2022;61.200,00;61.200,00;61.200,00;61.200,00;0,44K;-1,45%
07.12.2022;62.100,00;62.100,00;62.100,00;62.100,00;0,38K;2,56%
06.12.2022;60.550,00;60.550,00;60.550,00;60.550,00;1,10K;0,00%
05.12.2022;60.550,00;60.550,00;60.550,00;60.550,00;0,37K;-0,74%
02.12.2022;61.000,00;61.000,00;61.110,00;61.000,00;31,57K;-1,93%
01.12.2022;62.200,00;62.200,00;62.300,00;62.200,00;9,38K;0,00%
30.11.2022;62.200,00;60.100,00;62.200,00;60.100,00;30,20K;2,00%
29.11.2022;60.980,00;60.110,00;60.980,00;60.110,00;0,73K;-0,03%
28.11.2022;61.000,00;61.000,00;61.000,00;60.110,00;5,67K;0,00%
25.11.2022;61.000,00;61.010,00;61.010,00;61.000,00;51,85K;-1,60%
24.11.2022;61.990,00;61.550,00;61.990,00;61.000,00;26,43K;0,83%
23.11.2022;61.480,00;62.000,00;62.000,00;61.480,00;2,41K;-0,84%
22.11.2022;62.000,00;61.390,00;62.000,00;61.390,00;5,98K;0,99%
18.11.2022;61.390,00;61.500,00;61.500,00;60.000,00;1,14K;-0,18%
17.11.2022;61.500,00;60.100,00;61.500,00;60.000,00;3,00K;-3,88%
16.11.2022;63.980,00;63.980,00;63.980,00;63.980,00;0,66K;0,00%
15.11.2022;63.980,00;61.170,00;63.990,00;61.170,00;2,53K;4,65%
11.11.2022;61.140,00;59.980,00;61.200,00;59.980,00;43,15K;1,90%
10.11.2022;60.000,00;58.000,00;60.000,00;58.000,00;4,20K;0,10%
09.11.2022;59.940,00;56.010,00;59.970,00;56.010,00;10,60K;-0,10%
08.11.2022;60.000,00;58.000,00;60.000,00;58.000,00;1,81K;3,82%
04.11.2022;57.790,00;56.500,00;57.790,00;56.500,00;1,05K;-0,29%
03.11.2022;57.960,00;57.960,00;57.960,00;57.960,00;0,51K;0,00%
01.11.2022;57.960,00;56.100,00;57.960,00;56.000,00;14,41K;3,13%
28.10.2022;56.200,00;55.010,00;56.200,00;55.000,00;1,47K;0,36%
27.10.2022;56.000,00;55.000,00;56.000,00;55.000,00;1,30K;-0,88%
26.10.2022;56.500,00;55.000,00;56.500,00;55.000,00;4,95K;-0,35%
25.10.2022;56.700,00;55.000,00;56.700,00;53.500,00;9,52K;3,09%
24.10.2022;55.000,00;55.000,00;57.000,00;55.000,00;3,85K;-1,79%
21.10.2022;56.000,00;55.000,00;56.000,00;54.000,00;2,35K;-2,10%
20.10.2022;57.200,00;54.770,00;57.940,00;54.700,00;9,27K;4,57%
19.10.2022;54.700,00;50.940,00;54.700,00;50.940,00;6,31K;7,36%
18.10.2022;50.950,00;50.990,00;50.990,00;50.000,00;6,78K;1,88%
14.10.2022;50.010,00;51.000,00;51.000,00;50.010,00;3,23K;-6,16%
06.10.2022;53.290,00;51.500,00;53.290,00;50.000,00;6,39K;0,79%
05.10.2022;52.870,00;51.990,00;52.870,00;51.000,00;2,49K;2,68%
04.10.2022;51.490,00;49.990,00;51.670,00;49.990,00;8,40K;3,00%
03.10.2022;49.990,00;48.590,00;49.990,00;48.590,00;34,37K;2,08%
30.09.2022;48.970,00;48.000,00;48.970,00;48.000,00;1,02K;1,47%
29.09.2022;48.260,00;48.000,00;48.260,00;48.000,00;2,35K;-0,43%
28.09.2022;48.470,00;47.800,00;48.470,00;46.360,00;2,05K;0,56%
27.09.2022;48.200,00;48.200,00;48.200,00;48.200,00;0,54K;4,67%
26.09.2022;46.050,00;46.050,00;46.050,00;46.050,00;0,52K;-4,34%
23.09.2022;48.140,00;46.500,00;48.140,00;46.500,00;0,83K;-1,53%
22.09.2022;48.890,00;48.670,00;48.890,00;48.670,00;1,58K;1,85%
21.09.2022;48.000,00;48.000,00;48.000,00;48.000,00;0,57K;0,00%
20.09.2022;48.000,00;48.000,00;48.000,00;48.000,00;0,70K;0,23%
19.09.2022;47.890,00;47.500,00;48.000,00;46.900,00;48,97K;2,44%
16.09.2022;46.750,00;48.700,00;49.600,00;46.750,00;23,28K;-6,01%
15.09.2022;49.740,00;49.780,00;49.780,00;49.200,00;2,23K;-0,24%
14.09.2022;49.860,00;49.160,00;50.650,00;48.000,00;5,15K;-0,28%
13.09.2022;50.000,00;50.000,00;50.990,00;49.110,00;9,45K;-1,88%
12.09.2022;50.960,00;50.940,00;51.500,00;50.010,00;4,87K;0,04%
09.09.2022;50.940,00;49.860,00;50.960,00;49.860,00;1,78K;-0,06%
07.09.2022;50.970,00;50.020,00;50.970,00;50.010,00;2,81K;-0,04%
06.09.2022;50.990,00;50.900,00;51.000,00;49.010,00;6,88K;0,18%
05.09.2022;50.900,00;51.000,00;51.000,00;50.500,00;2,07K;-0,20%
02.09.2022;51.000,00;51.000,00;51.000,00;50.100,00;5,08K;0,00%
01.09.2022;51.000,00;50.020,00;51.000,00;50.000,00;11,03K;0,00%
31.08.2022;51.000,00;53.000,00;53.000,00;50.900,00;12,32K;0,00%
30.08.2022;51.000,00;51.000,00;51.000,00;51.000,00;3,42K;-5,56%
29.08.2022;54.000,00;54.000,00;54.000,00;53.700,00;2,24K;-3,09%
26.08.2022;55.720,00;56.880,00;56.880,00;54.000,00;1,82K;3,09%
25.08.2022;54.050,00;54.500,00;55.390,00;54.050,00;11,64K;-0,83%
24.08.2022;54.500,00;54.500,00;54.500,00;53.050,00;6,68K;0,91%
23.08.2022;54.010,00;54.500,00;54.500,00;54.010,00;0,53K;-2,95%
19.08.2022;55.650,00;54.350,00;55.800,00;54.100,00;7,25K;-0,63%
18.08.2022;56.000,00;57.190,00;57.190,00;55.000,00;15,64K;1,82%
17.08.2022;55.000,00;56.100,00;57.460,00;55.000,00;13,61K;-1,79%
16.08.2022;56.000,00;57.980,00;57.980,00;56.000,00;9,21K;-0,09%
12.08.2022;56.050,00;57.470,00;57.470,00;56.050,00;1,25K;-2,83%
11.08.2022;57.680,00;57.100,00;57.680,00;56.000,00;13,96K;2,82%
10.08.2022;56.100,00;57.000,00;57.000,00;56.100,00;3,76K;-4,40%
09.08.2022;58.680,00;59.000,00;60.190,00;58.000,00;7,78K;-0,54%
08.08.2022;59.000,00;58.600,00;59.450,00;58.600,00;6,50K;0,68%
05.08.2022;58.600,00;59.000,00;59.000,00;56.000,00;21,48K;-0,68%
04.08.2022;59.000,00;59.000,00;59.100,00;59.000,00;1,98K;1,72%
03.08.2022;58.000,00;59.740,00;59.740,00;58.000,00;1,21K;1,72%
02.08.2022;57.020,00;59.980,00;59.980,00;57.020,00;4,34K;-1,99%
01.08.2022;58.180,00;61.600,00;61.600,00;58.180,00;9,28K;-5,40%
29.07.2022;61.500,00;62.000,00;62.000,00;61.500,00;4,42K;0,00%
25.07.2022;61.500,00;61.000,00;61.500,00;61.000,00;0,95K;2,33%
22.07.2022;60.100,00;64.000,00;64.000,00;60.100,00;3,55K;-7,54%
19.07.2022;65.000,00;68.000,00;68.000,00;65.000,00;0,83K;0,00%
18.07.2022;65.000,00;65.000,00;65.000,00;65.000,00;0,49K;0,00%
15.07.2022;65.000,00;65.000,00;65.000,00;65.000,00;0,78K;0,00%
14.07.2022;65.000,00;67.600,00;67.600,00;65.000,00;2,24K;-4,55%
13.07.2022;68.100,00;68.200,00;68.200,00;68.100,00;8,24K;-0,15%
12.07.2022;68.200,00;68.200,00;68.200,00;68.200,00;2,23K;0,00%
11.07.2022;68.200,00;68.200,00;68.200,00;68.200,00;0,75K;0,00%
08.07.2022;68.200,00;69.000,00;69.000,00;68.200,00;1,97K;-1,16%
06.07.2022;69.000,00;69.030,00;69.100,00;68.800,00;51,55K;-1,43%
05.07.2022;70.000,00;69.020,00;70.000,00;69.000,00;18,81K;-0,21%
01.07.2022;70.150,00;69.900,00;70.150,00;69.900,00;9,17K;0,24%
30.06.2022;69.980,00;68.200,00;69.980,00;68.100,00;24,98K;2,16%
29.06.2022;68.500,00;70.610,00;70.610,00;68.000,00;14,38K;-2,99%
28.06.2022;70.610,00;73.000,00;73.000,00;70.000,00;5,54K;-3,30%
24.06.2022;73.020,00;75.000,00;75.000,00;73.010,00;2,57K;-2,64%
23.06.2022;75.000,00;75.000,00;75.000,00;72.010,00;2,36K;-2,60%
22.06.2022;77.000,00;79.880,00;79.880,00;75.000,00;4,83K;1,30%
21.06.2022;76.010,00;76.010,00;76.010,00;74.800,00;4,53K;-3,16%
17.06.2022;78.490,00;78.590,00;78.590,00;77.000,00;1,04K;1,28%
16.06.2022;77.500,00;77.550,00;79.990,00;77.500,00;1,06K;0,65%
15.06.2022;77.000,00;80.480,00;80.480,00;77.000,00;2,15K;-4,35%
14.06.2022;80.500,00;78.000,00;80.500,00;77.020,00;2,15K;5,89%
13.06.2022;76.020,00;80.320,00;80.320,00;76.020,00;4,63K;-9,48%
10.06.2022;83.980,00;80.300,00;83.980,00;80.300,00;0,93K;4,69%
09.06.2022;80.220,00;80.230,00;80.230,00;80.220,00;2,09K;-3,35%
08.06.2022;83.000,00;83.000,00;83.000,00;83.000,00;2,54K;0,00%
07.06.2022;83.000,00;81.120,00;83.000,00;80.220,00;2,80K;0,00%
06.06.2022;83.000,00;83.020,00;83.020,00;82.000,00;2,84K;-3,36%
03.06.2022;85.890,00;84.000,00;85.890,00;80.160,00;5,61K;-0,12%
02.06.2022;85.990,00;86.500,00;86.500,00;85.000,00;1,99K;1,16%
01.06.2022;85.000,00;87.200,00;87.200,00;84.000,00;1,58K;-3,47%
31.05.2022;88.060,00;82.300,00;88.060,00;82.300,00;11,94K;7,00%
27.05.2022;82.300,00;79.600,00;82.300,00;79.600,00;0,50K;-0,21%
26.05.2022;82.470,00;82.480,00;82.480,00;80.000,00;2,04K;-0,01%
25.05.2022;82.480,00;83.000,00;83.000,00;79.600,00;1,36K;-1,55%
24.05.2022;83.780,00;79.020,00;83.780,00;79.020,00;0,57K;0,94%
23.05.2022;83.000,00;82.000,00;83.000,00;78.900,00;5,80K;2,47%
20.05.2022;81.000,00;82.500,00;83.500,00;81.000,00;5,87K;-1,94%
19.05.2022;82.600,00;82.600,00;82.600,00;82.600,00;4,10K;-0,47%
18.05.2022;82.990,00;85.000,00;85.000,00;82.010,00;8,36K;-3,50%
17.05.2022;86.000,00;87.500,00;87.500,00;86.000,00;0,52K;-3,15%
16.05.2022;88.800,00;84.900,00;88.800,00;84.900,00;2,51K;-0,11%
10.05.2022;88.900,00;84.900,00;88.900,00;83.000,00;4,79K;4,59%
09.05.2022;85.000,00;89.810,00;89.810,00;85.000,00;7,13K;-5,56%
06.05.2022;90.000,00;90.000,00;90.010,00;90.000,00;0,98K;-0,01%
05.05.2022;90.010,00;90.010,00;90.010,00;90.010,00;0,61K;0,01%
04.05.2022;90.000,00;90.000,00;90.000,00;90.000,00;0,96K;-1,10%
03.05.2022;91.000,00;92.000,00;92.000,00;90.660,00;2,72K;-1,09%
02.05.2022;92.000,00;92.000,00;92.000,00;92.000,00;0,17K;-0,97%
27.04.2022;92.900,00;93.100,00;93.100,00;92.900,00;17,98K;-2,20%
25.04.2022;94.990,00;94.480,00;95.000,00;94.450,00;3,35K;2,14%
22.04.2022;93.000,00;93.000,00;93.010,00;93.000,00;11,91K;-0,24%
21.04.2022;93.220,00;93.190,00;93.220,00;92.500,00;9,40K;-0,05%
20.04.2022;93.270,00;92.330,00;93.270,00;92.330,00;9,57K;1,35%
19.04.2022;92.030,00;92.990,00;93.000,00;92.030,00;26,63K;-1,04%
18.04.2022;93.000,00;92.800,00;93.000,00;92.500,00;13,07K;0,00%
13.04.2022;93.000,00;92.500,00;93.000,00;92.000,00;21,64K;1,09%
12.04.2022;92.000,00;92.900,00;93.400,00;92.000,00;3,40K;-1,08%
11.04.2022;93.000,00;92.800,00;93.000,00;92.680,00;35,08K;-1,06%
08.04.2022;94.000,00;91.000,00;94.000,00;90.000,00;104,40K;3,30%
07.04.2022;91.000,00;90.500,00;91.500,00;90.480,00;9,01K;0,44%
06.04.2022;90.600,00;90.000,00;91.900,00;89.310,00;38,53K;0,82%
05.04.2022;89.860,00;89.400,00;89.990,00;89.400,00;39,76K;0,40%
04.04.2022;89.500,00;89.000,00;89.500,00;88.380,00;20,26K;3,47%
01.04.2022;86.500,00;85.000,00;87.000,00;85.000,00;7,64K;1,76%
31.03.2022;85.000,00;85.000,00;85.000,00;84.000,00;2,55K;1,19%
30.03.2022;84.000,00;86.430,00;86.430,00;84.000,00;19,92K;-1,18%
29.03.2022;85.000,00;85.000,00;86.990,00;85.000,00;1,46K;0,00%
