Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;1.850,00;1.840,00;1.850,00;1.840,00;132,05K;0,82%
29.06.2023;1.835,00;1.820,00;1.835,00;1.820,00;119,47K;-0,81%
28.06.2023;1.850,00;1.851,00;1.851,00;1.850,00;430,64K;-2,06%
27.06.2023;1.889,00;1.863,00;1.890,00;1.863,00;47,18K;0,21%
26.06.2023;1.885,00;1.890,00;1.890,00;1.880,00;100,33K;-0,79%
23.06.2023;1.900,00;1.900,00;1.900,00;1.895,00;42,66K;0,00%
22.06.2023;1.900,00;1.900,00;1.900,00;1.900,00;54,85K;0,00%
21.06.2023;1.900,00;1.900,00;1.900,00;1.900,00;59,87K;-0,26%
16.06.2023;1.905,00;1.905,00;1.905,00;1.905,00;44,11K;0,00%
15.06.2023;1.905,00;1.900,00;1.907,00;1.900,00;244,27K;-0,88%
14.06.2023;1.922,00;1.930,00;1.930,00;1.922,00;113,60K;1,16%
13.06.2023;1.900,00;1.931,00;1.931,00;1.900,00;190,12K;-2,56%
09.06.2023;1.950,00;1.950,00;1.950,00;1.931,00;237,86K;0,00%
08.06.2023;1.950,00;1.950,00;1.950,00;1.950,00;20,99K;0,00%
07.06.2023;1.950,00;1.950,00;1.950,00;1.950,00;30,33K;1,25%
06.06.2023;1.926,00;1.950,00;1.950,00;1.926,00;125,23K;-1,23%
05.06.2023;1.950,00;1.940,00;1.950,00;1.940,00;37,01K;0,00%
02.06.2023;1.950,00;1.949,00;1.951,00;1.949,00;242,36K;2,04%
01.06.2023;1.911,00;1.953,00;2.030,00;1.911,00;407,07K;-2,00%
31.05.2023;1.950,00;1.997,00;1.997,00;1.950,00;357,26K;-2,50%
30.05.2023;2.000,00;2.000,00;2.000,00;2.000,00;17,48K;0,00%
26.05.2023;2.000,00;2.000,00;2.000,00;2.000,00;14,03K;0,00%
25.05.2023;2.000,00;2.031,00;2.031,00;1.995,00;94,67K;-1,53%
24.05.2023;2.031,00;2.031,00;2.031,00;2.031,00;11,68K;-4,06%
18.05.2023;2.117,00;2.008,00;2.117,00;2.008,00;14,19K;-1,44%
