Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;52.430,00;54.650,00;54.650,00;52.430,00;4,53K;0,00%
29.06.2023;52.430,00;53.350,00;53.500,00;52.430,00;1,76K;-1,04%
27.06.2023;52.980,00;52.070,00;52.980,00;52.000,00;19,20K;-1,16%
26.06.2023;53.600,00;52.090,00;53.600,00;51.770,00;14,84K;-0,74%
22.06.2023;54.000,00;54.000,00;54.000,00;54.000,00;1,72K;-1,76%
21.06.2023;54.970,00;56.330,00;56.330,00;54.000,00;45,00K;-3,49%
20.06.2023;56.960,00;53.000,00;56.960,00;52.640,00;9,85K;-1,42%
16.06.2023;57.780,00;63.580,00;63.580,00;57.780,00;68,26K;-0,03%
24.05.2023;57.800,00;57.040,00;57.800,00;54.000,00;5,69K;-3,63%
23.05.2023;59.980,00;60.000,00;60.000,00;58.000,00;10,41K;1,04%
19.05.2023;59.360,00;60.500,00;60.500,00;59.360,00;0,56K;-2,67%
18.05.2023;60.990,00;59.030,00;61.000,00;59.030,00;3,31K;-0,03%
17.05.2023;61.010,00;61.010,00;61.010,00;61.010,00;0,40K;-0,80%
16.05.2023;61.500,00;61.500,00;61.500,00;61.000,00;5,80K;0,89%
15.05.2023;60.960,00;59.930,00;60.960,00;59.900,00;3,48K;1,72%
12.05.2023;59.930,00;59.040,00;59.930,00;59.040,00;4,30K;-0,10%
11.05.2023;59.990,00;59.090,00;59.990,00;59.090,00;3,15K;-3,52%
10.05.2023;62.180,00;61.500,00;62.180,00;61.500,00;1,82K;-0,51%
09.05.2023;62.500,00;62.970,00;62.970,00;60.010,00;4,98K;-0,75%
08.05.2023;62.970,00;61.000,00;62.970,00;60.000,00;4,51K;1,73%
05.05.2023;61.900,00;63.000,00;63.170,00;61.900,00;39,49K;-1,73%
04.05.2023;62.990,00;61.000,00;62.990,00;58.520,00;28,17K;3,28%
03.05.2023;60.990,00;60.450,00;61.000,00;60.450,00;26,91K;0,89%
02.05.2023;60.450,00;57.530,00;60.450,00;57.530,00;124,47K;0,27%
28.04.2023;60.290,00;57.900,00;60.790,00;57.020,00;103,99K;3,98%
27.04.2023;57.980,00;55.960,00;57.980,00;54.170,00;58,28K;3,61%
26.04.2023;55.960,00;56.000,00;57.500,00;55.300,00;27,00K;1,43%
25.04.2023;55.170,00;57.050,00;57.900,00;55.170,00;5,11K;-3,30%
24.04.2023;57.050,00;57.040,00;57.990,00;57.040,00;3,70K;-2,55%
21.04.2023;58.540,00;55.510,00;58.740,00;55.510,00;2,33K;-0,75%
20.04.2023;58.980,00;57.570,00;58.980,00;57.570,00;0,79K;-1,35%
19.04.2023;59.790,00;59.780,00;59.790,00;58.000,00;11,24K;-0,78%
