Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
28.06.2023;7.000,00;7.030,00;7.030,00;7.000,00;10,10K;0,00%
26.06.2023;7.000,00;7.250,00;7.250,00;7.000,00;7,11K;-2,78%
20.06.2023;7.200,00;7.200,00;7.200,00;7.200,00;3,87K;1,05%
16.06.2023;7.125,00;7.125,00;7.125,00;7.125,00;6,39K;-3,06%
15.06.2023;7.350,00;7.300,00;7.350,00;7.300,00;11,16K;0,68%
13.06.2023;7.300,00;7.300,00;7.300,00;7.300,00;18,79K;-0,82%
08.06.2023;7.360,00;7.360,00;7.360,00;7.360,00;3,45K;0,00%
07.06.2023;7.360,00;7.360,00;7.360,00;7.360,00;7,19K;2,22%
06.06.2023;7.200,00;7.200,00;7.200,00;7.200,00;10,79K;0,00%
05.06.2023;7.200,00;7.100,00;7.200,00;7.095,00;11,25K;2,20%
01.06.2023;7.045,00;7.390,00;7.390,00;7.045,00;5,75K;-4,80%
31.05.2023;7.400,00;7.275,00;7.400,00;7.010,00;17,50K;1,72%
30.05.2023;7.275,00;7.000,00;7.275,00;7.000,00;4,39K;3,93%
29.05.2023;7.000,00;7.000,00;7.000,00;7.000,00;5,84K;-1,41%
25.05.2023;7.100,00;7.120,00;7.120,00;7.100,00;7,54K;-1,39%
24.05.2023;7.200,00;7.150,00;7.200,00;7.150,00;7,83K;0,00%
16.05.2023;7.200,00;7.200,00;7.200,00;7.200,00;5,91K;1,48%
15.05.2023;7.095,00;7.095,00;7.095,00;7.095,00;10,07K;1,07%
08.05.2023;7.020,00;7.020,00;7.020,00;7.020,00;8,06K;-3,97%
05.05.2023;7.310,00;7.310,00;7.310,00;7.310,00;5,11K;0,00%
03.05.2023;7.310,00;7.310,00;7.310,00;7.310,00;5,75K;1,39%
02.05.2023;7.210,00;7.210,00;7.210,00;7.210,00;7,89K;-5,26%
28.04.2023;7.610,00;7.330,00;7.610,00;7.330,00;20,28K;4,10%
27.04.2023;7.310,00;7.310,00;7.310,00;7.310,00;12,27K;-1,35%
25.04.2023;7.410,00;7.450,00;7.450,00;7.410,00;6,96K;-0,54%
24.04.2023;7.450,00;7.600,00;7.600,00;7.450,00;5,38K;-1,97%
21.04.2023;7.600,00;7.440,00;7.600,00;7.440,00;17,74K;2,56%
20.04.2023;7.410,00;7.400,00;7.410,00;7.400,00;9,62K;-0,54%
19.04.2023;7.450,00;7.400,00;7.450,00;7.400,00;13,67K;0,00%
18.04.2023;7.450,00;7.450,00;7.450,00;7.450,00;6,85K;0,00%
17.04.2023;7.450,00;7.500,00;7.500,00;7.450,00;19,16K;-0,73%
14.04.2023;7.505,00;7.610,00;7.610,00;7.505,00;6,81K;-1,64%
13.04.2023;7.630,00;7.500,00;7.630,00;7.500,00;19,64K;2,55%
12.04.2023;7.440,00;7.550,00;7.550,00;7.310,00;21,93K;-3,19%
10.04.2023;7.685,00;7.690,00;7.690,00;7.685,00;19,57K;-0,19%
05.04.2023;7.700,00;7.655,00;7.700,00;7.655,00;25,82K;0,65%
04.04.2023;7.650,00;7.650,00;7.650,00;7.650,00;9,81K;0,66%
03.04.2023;7.600,00;7.650,00;7.650,00;7.570,00;18,90K;-0,65%
31.03.2023;7.650,00;7.650,00;7.650,00;7.650,00;10,08K;-0,39%
30.03.2023;7.680,00;7.640,00;7.680,00;7.640,00;13,63K;0,46%
29.03.2023;7.645,00;7.645,00;7.645,00;7.645,00;7,73K;-0,07%
28.03.2023;7.650,00;7.750,00;7.750,00;7.650,00;16,54K;-0,65%
27.03.2023;7.700,00;7.860,00;7.860,00;7.625,00;72,69K;-9,04%
24.03.2023;8.465,00;8.380,00;8.465,00;8.150,00;20,48K;2,36%
23.03.2023;8.270,00;8.225,00;8.290,00;8.110,00;60,60K;-0,30%
22.03.2023;8.295,00;8.305,00;8.350,00;8.295,00;35,62K;-0,06%
21.03.2023;8.300,00;8.300,00;8.300,00;8.300,00;7,25K;0,00%
17.03.2023;8.300,00;8.295,00;8.350,00;8.295,00;10,49K;0,06%
16.03.2023;8.295,00;8.295,00;8.295,00;8.295,00;4,66K;-1,19%
15.03.2023;8.395,00;8.485,00;8.485,00;8.395,00;5,70K;7,63%
14.03.2023;7.800,00;8.305,00;8.305,00;7.800,00;51,84K;-6,08%
09.03.2023;8.305,00;8.600,00;8.600,00;8.305,00;13,02K;-2,18%
07.03.2023;8.490,00;8.490,00;8.490,00;8.490,00;11,01K;3,28%
06.03.2023;8.220,00;8.160,00;8.220,00;8.100,00;21,46K;1,67%
03.03.2023;8.085,00;8.085,00;8.085,00;8.085,00;6,12K;1,32%
01.03.2023;7.980,00;7.900,00;8.045,00;7.900,00;12,53K;1,92%
28.02.2023;7.830,00;8.065,00;8.065,00;7.830,00;7,97K;-3,03%
27.02.2023;8.075,00;7.880,00;8.075,00;7.850,00;7,70K;3,46%
24.02.2023;7.805,00;7.800,00;7.805,00;7.800,00;8,32K;0,06%
23.02.2023;7.800,00;8.000,00;8.000,00;7.800,00;16,12K;-1,52%
17.02.2023;7.920,00;7.920,00;7.920,00;7.920,00;6,45K;0,25%
15.02.2023;7.900,00;7.900,00;7.915,00;7.900,00;22,95K;-0,50%
14.02.2023;7.940,00;7.940,00;7.940,00;7.940,00;5,59K;-0,13%
13.02.2023;7.950,00;8.010,00;8.020,00;7.950,00;16,42K;-0,75%
10.02.2023;8.010,00;8.000,00;8.010,00;8.000,00;14,22K;-4,59%
09.02.2023;8.395,00;8.130,00;8.395,00;8.130,00;13,59K;3,64%
06.02.2023;8.100,00;8.150,00;8.150,00;8.100,00;5,94K;0,00%
03.02.2023;8.100,00;8.100,00;8.100,00;8.100,00;3,58K;-1,22%
02.02.2023;8.200,00;8.200,00;8.200,00;8.200,00;9,36K;1,74%
01.02.2023;8.060,00;8.060,00;8.060,00;8.060,00;3,15K;-1,47%
31.01.2023;8.180,00;8.025,00;8.180,00;8.025,00;13,29K;2,12%
30.01.2023;8.010,00;8.010,00;8.010,00;8.010,00;6,03K;-2,32%
27.01.2023;8.200,00;8.200,00;8.200,00;8.200,00;11,70K;0,00%
25.01.2023;8.200,00;8.120,00;8.200,00;8.100,00;13,35K;0,61%
24.01.2023;8.150,00;8.160,00;8.160,00;8.150,00;9,69K;-0,06%
23.01.2023;8.155,00;8.160,00;8.350,00;8.155,00;7,94K;0,06%
19.01.2023;8.150,00;8.300,00;8.300,00;8.150,00;14,39K;-1,21%
