Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
29.06.2023;4.400,00;4.400,00;4.400,00;4.400,00;4,46K;-4,10%
27.06.2023;4.588,00;4.480,00;4.588,00;4.480,00;8,94K;-1,76%
22.06.2023;4.670,00;4.504,00;4.670,00;4.500,00;10,66K;-0,62%
21.06.2023;4.699,00;4.699,00;4.699,00;4.699,00;4,76K;-0,61%
20.06.2023;4.728,00;4.500,00;4.728,00;4.401,00;45,75K;2,34%
16.06.2023;4.620,00;4.345,00;4.620,00;4.300,00;149,66K;6,33%
15.06.2023;4.345,00;4.200,00;4.345,00;4.200,00;9,53K;1,09%
14.06.2023;4.298,00;4.157,00;4.298,00;4.157,00;43,45K;-2,27%
13.06.2023;4.398,00;4.396,00;4.400,00;4.396,00;25,18K;7,27%
09.06.2023;4.100,00;4.360,00;4.380,00;4.100,00;37,75K;-5,96%
08.06.2023;4.360,00;4.393,00;4.393,00;4.360,00;20,49K;0,58%
07.06.2023;4.335,00;4.299,00;4.397,00;4.299,00;40,05K;2,87%
06.06.2023;4.214,00;4.197,00;4.300,00;4.197,00;108,65K;2,78%
05.06.2023;4.100,00;4.056,00;4.199,00;4.056,00;74,49K;-1,73%
02.06.2023;4.172,00;4.050,00;4.172,00;4.035,00;24,14K;4,30%
01.06.2023;4.000,00;4.100,00;4.189,00;4.000,00;526,60K;0,00%
31.05.2023;4.000,00;4.053,00;4.053,00;4.000,00;316,52K;-4,76%
30.05.2023;4.200,00;4.200,00;4.200,00;4.200,00;10,56K;1,18%
26.05.2023;4.151,00;4.151,00;4.151,00;4.151,00;11,03K;-1,17%
23.05.2023;4.200,00;4.200,00;4.200,00;4.200,00;5,27K;0,00%
12.05.2023;4.200,00;4.200,00;4.200,00;4.200,00;4,22K;0,82%
11.05.2023;4.166,00;4.200,00;4.200,00;4.166,00;6,73K;0,39%
10.05.2023;4.150,00;4.150,00;4.150,00;4.150,00;5,29K;0,48%
08.05.2023;4.130,00;4.130,00;4.200,00;4.130,00;15,34K;0,05%
05.05.2023;4.128,00;4.210,00;4.210,00;4.128,00;8,50K;-1,95%
03.05.2023;4.210,00;4.250,00;4.250,00;4.210,00;7,77K;0,21%
02.05.2023;4.201,00;4.201,00;4.201,00;4.201,00;9,19K;-1,62%
28.04.2023;4.270,00;4.232,00;4.300,00;4.232,00;73,65K;2,64%
27.04.2023;4.160,00;4.160,00;4.160,00;4.160,00;40,53K;-0,95%
26.04.2023;4.200,00;4.200,00;4.200,00;4.200,00;47,95K;0,00%
25.04.2023;4.200,00;4.127,00;4.200,00;4.126,00;47,86K;0,00%
24.04.2023;4.200,00;4.190,00;4.200,00;4.107,00;26,58K;0,24%
