Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30.06.2023;36.000,00;36.000,00;36.000,00;36.000,00;11,66K;0,33%
27.06.2023;35.880,00;36.000,00;36.000,00;35.880,00;4,73K;-0,31%
26.06.2023;35.990,00;34.600,00;36.190,00;34.600,00;13,68K;4,02%
23.06.2023;34.600,00;36.990,00;36.990,00;34.600,00;41,77K;-6,49%
22.06.2023;37.000,00;37.000,00;37.000,00;37.000,00;6,18K;3,35%
20.06.2023;35.800,00;35.780,00;36.290,00;34.630,00;38,45K;0,06%
16.06.2023;35.780,00;44.110,00;44.110,00;35.780,00;84,64K;-10,77%
24.05.2023;40.100,00;41.420,00;41.420,00;40.100,00;1,00K;-0,25%
23.05.2023;40.200,00;40.200,00;40.200,00;40.200,00;0,80K;-3,11%
18.05.2023;41.490,00;40.670,00;41.630,00;40.650,00;28,76K;1,64%
17.05.2023;40.820,00;43.420,00;43.420,00;40.820,00;17,58K;-5,05%
16.05.2023;42.990,00;42.520,00;42.990,00;41.380,00;5,43K;1,11%
15.05.2023;42.520,00;42.990,00;43.000,00;42.130,00;20,79K;-1,12%
12.05.2023;43.000,00;43.000,00;43.900,00;42.950,00;96,08K;-2,29%
11.05.2023;44.010,00;45.510,00;45.510,00;44.010,00;2,63K;-3,27%
10.05.2023;45.500,00;45.500,00;45.500,00;45.500,00;0,25K;2,02%
09.05.2023;44.600,00;45.000,00;45.900,00;44.600,00;7,72K;0,27%
08.05.2023;44.480,00;45.000,00;45.000,00;44.100,00;34,03K;0,41%
05.05.2023;44.300,00;44.500,00;45.500,00;42.350,00;28,12K;0,00%
04.05.2023;44.300,00;44.000,00;44.500,00;43.280,00;34,57K;0,91%
03.05.2023;43.900,00;43.280,00;43.980,00;42.550,00;73,07K;3,17%
02.05.2023;42.550,00;42.100,00;42.770,00;42.040,00;63,19K;1,09%
28.04.2023;42.090,00;40.900,00;43.390,00;40.900,00;28,18K;2,91%
27.04.2023;40.900,00;37.310,00;40.900,00;37.310,00;7,76K;2,92%
26.04.2023;39.740,00;39.520,00;40.200,00;38.000,00;15,56K;-0,15%
25.04.2023;39.800,00;40.000,00;41.500,00;39.800,00;5,58K;-1,97%
24.04.2023;40.600,00;40.600,00;40.600,00;40.550,00;12,34K;0,00%
21.04.2023;40.600,00;40.800,00;40.800,00;40.600,00;2,37K;-3,33%
20.04.2023;42.000,00;40.760,00;42.000,00;40.760,00;16,68K;-2,03%
18.04.2023;42.870,00;43.000,00;43.000,00;41.920,00;15,71K;-0,30%
17.04.2023;43.000,00;43.500,00;44.000,00;43.000,00;5,73K;0,05%
14.04.2023;42.980,00;41.800,00;42.990,00;41.360,00;770,05K;2,33%
13.04.2023;42.000,00;39.130,00;43.000,00;39.000,00;5,76M;4,24%
12.04.2023;40.290,00;39.010,00;40.290,00;39.010,00;12,09K;0,37%
11.04.2023;40.140,00;40.000,00;40.300,00;40.000,00;25,51K;0,35%
10.04.2023;40.000,00;37.820,00;40.000,00;37.810,00;7,41K;-1,04%
