"Empresa","p","q","AR","N","Mu","Delta_Volumen","P_Volumen_Robusto","Omega","Persistencia","Shape_t","LogLik","AIC","BIC","P_LB_Residuos","P_LB_Cuadrados","Convergencia","Error","Adecuado"
"bancolombia",1,1,0,490,0.000824056162540277,0.00272332980722921,0.00685352117755422,2.39073873617918e-05,0.980404528313678,4.46268699759166,1158.86369014053,-4.70556608220623,-4.65420601619271,0.954379294223006,0.86068183674553,0,NA,TRUE
"bancolombia",1,2,0,490,0.000793165319491225,0.0027336989209744,0.00670308854495971,2.34293115964427e-05,0.982980340191444,4.49401413162736,1159.58288009581,-4.70441991875841,-4.64449984174263,0.953644197707302,0.845870940903845,0,NA,TRUE
"bancolombia",2,1,0,490,0.000769754050481944,0.00276091274479198,0.00503198610767419,3.12121287543579e-05,0.980889480874315,4.5210085061777,1160.95013274621,-4.71000054182128,-4.6500804648055,0.948738492836318,0.971230492403954,0,NA,TRUE
"bancolombia",2,2,0,490,0.00076982438780926,0.00276089657365371,0.00366265375312724,3.12137304856275e-05,0.980894667517541,4.52095879070557,1160.95013165653,-4.70591890472054,-4.6374388167025,0.948737750880654,0.971219755867963,0,NA,TRUE
"bogota",1,1,0,490,-0.000924955023438661,0.000537477994516618,0.535521184128427,7.23340238150099e-06,0.998999997696397,2.34769481961442,1213.82006469654,-4.92987781508791,-4.87851774907438,0.588009790258814,0.999999897466206,0,NA,TRUE
"bogota",1,2,0,490,-0.000909143816493736,0.000560042038333799,0.521273693024788,7.91740379151521e-06,0.998999999335993,2.31923274629205,1213.80370940573,-4.92572942614584,-4.86580934913006,0.568073212092774,0.99999985433178,0,NA,TRUE
"bogota",2,1,0,490,-0.000818475901603403,0.000407925947536862,0.651892607789895,2.57076751283471e-05,0.998999999585681,2.12144032995717,1216.26101418949,-4.93575924158975,-4.87583916457397,0.454569675168111,0.999993935267019,0,NA,TRUE
"bogota",2,2,0,490,-0.000817911278965532,0.000408884033341202,0.65481200441261,2.57354118141686e-05,0.99899999709717,2.12139423553211,1216.26101900293,-4.9316776285834,-4.86319754056537,0.454618520391635,0.999993934918542,0,NA,TRUE
"bvc",1,1,0,490,-0.000364372896546647,-0.000355215945723213,0.632333608900564,0.000450425855335275,0.998999990202811,2.10000016994338,1362.92132478933,-5.53845438689523,-5.48709432088171,0.318314987985213,0.965306559615355,0,NA,TRUE
"bvc",1,2,0,490,-0.000373410737058743,-0.000369320999379388,0.544397248894096,0.000380640640608695,0.999000003731175,2.1078154934292,1362.68107956297,-5.53339216148153,-5.47347208446575,0.333777023477513,0.966707405434172,0,NA,TRUE
"bvc",2,1,0,490,-0.000406728615642644,-0.000319114653330106,0.602870244916474,0.000291321370382124,1.47152244344272,2.1,1363.85563997165,-5.53818628559858,-5.4782662085828,0.382055922708283,0.876866626480103,0,NA,FALSE
"bvc",2,2,0,490,-0.000372386310841817,-0.000367697880652973,0.545788200046434,0.000399547280299915,0.998999993859539,2.10779499080592,1362.6892264442,-5.52934378140488,-5.46086369338685,0.329944884158259,0.966789509866837,0,NA,TRUE
"ceargos",1,1,0,490,-0.000136878392898411,0.00183776841523495,0.00670995671724395,7.99389914750951e-06,0.995784085882851,5.52413227947656,1246.06484585896,-5.06148916677128,-5.01012910075775,0.326600913876178,0.337466484339928,0,NA,TRUE
"ceargos",1,2,0,490,-0.00014000041236686,0.00182796403334611,0.00817468966317048,7.96738459461686e-06,0.995990337564869,5.47972151898161,1245.78973881547,-5.0562846482264,-4.99636457121062,0.325353515729546,0.330613725629207,0,NA,TRUE
"ceargos",2,1,0,490,-0.000348472409117576,0.00208187263729622,0.000852715899845036,1.20290951693911e-05,0.998999752994547,5.83550674772321,1252.7400432393,-5.08465323771142,-5.02473316069564,0.347816926537159,0.70801395067082,0,NA,TRUE
"ceargos",2,2,0,490,-0.000348485643408997,0.00208189050457843,0.107049272110014,1.20288834683022e-05,0.998999409674898,5.83565807674477,1252.74004199801,-5.08057159999188,-5.01209151197384,0.347817287234148,0.708013812607182,0,NA,TRUE
"celsia",1,1,0,490,-0.000910628588945901,0.000772002730732904,0.222683870096973,2.50612415990708e-05,0.998999002121399,2.91061210673836,1309.3470716333,-5.3197839658502,-5.26842389983667,0.0464382185822496,0.965413401643426,0,NA,FALSE
"celsia",1,2,0,490,-0.000915217543273334,0.000770010181961221,0.224884318471547,2.59116903807489e-05,0.998999949820764,2.89705393554165,1309.28613479542,-5.31545361140989,-5.2555335343941,0.0477675574051318,0.965671215447473,0,NA,FALSE
"celsia",2,1,0,490,-0.000890913096377872,0.000746606904543037,0.239007730812115,3.15138646879672e-05,0.998999789463637,2.92431881872408,1310.11604001117,-5.31884097963741,-5.25892090262163,0.0399529365375008,0.96964419394045,0,NA,FALSE
"celsia",2,2,0,490,-0.000890927743152833,0.000746622438150759,0.238976209051531,3.15144441998926e-05,0.99899993932428,2.92429602824174,1310.11604072745,-5.31475934990796,-5.24627926188993,0.0399528463484572,0.969644871245298,0,NA,FALSE
"celsia",1,1,1,490,-0.00086983403428197,0.000621461391951515,0.295000179326788,1.78103463606421e-05,0.998999945156572,2.85741771712576,1316.28370126678,-5.34401510721133,-5.28409503019555,0.238592220160051,0.982049633453307,0,NA,TRUE
"celsia",1,2,1,490,-0.000874076545917347,0.000621803865452218,0.293858959632975,1.83825195865723e-05,0.998999951431616,2.8437644689961,1316.19030336122,-5.33955225861724,-5.2710721705992,0.238448362640883,0.982145970580223,0,NA,TRUE
"celsia",2,1,1,490,-0.000866647874287724,0.000605342573581451,0.306662478779006,2.31649032272557e-05,0.998999833419028,2.86057696326368,1316.48731947207,-5.34076456927375,-5.27228448125571,0.218943820963882,0.985370377160189,0,NA,TRUE
"celsia",2,2,1,490,-0.000866482214429656,0.000605287143137038,0.30670907328337,2.31509052169403e-05,0.998999945773014,2.86065738698873,1316.4873187737,-5.33668293377022,-5.25964283474993,0.218956788885537,0.985383849268495,0,NA,TRUE
"ecopetrol",1,1,0,490,0.000452602596043539,-0.000346242540778076,0.764424488401916,3.70551187821261e-05,0.949826604333544,4.69211309811897,1146.74534401242,-4.65610344494864,-4.60474337893511,0.872955973936607,0.600075738964394,0,NA,TRUE
"ecopetrol",1,2,0,490,0.000461330851493597,-0.000339179992032554,0.84254755347131,3.714156531888e-05,0.949926088235024,4.6719976061172,1146.69694384474,-4.65182426059078,-4.591904183575,0.873266659400697,0.597294310543993,0,NA,TRUE
"ecopetrol",2,1,0,490,0.000378793159789396,-0.000486845621552665,0.669175454111185,3.23856551361974e-05,0.96091542500333,4.44764506136918,1146.80757637909,-4.65227582195545,-4.59235574493967,0.844721795386717,0.0710956726472972,0,NA,TRUE
"ecopetrol",2,2,0,490,0.000424205345221094,-0.000403510807009603,0.729121893711114,5.92760722058572e-05,0.924126925750741,4.5821425995797,1147.01011466433,-4.64902087618096,-4.58054078816292,0.868158278315098,0.275451425539707,0,NA,TRUE
"corpcolombia",1,1,0,490,-0.000716085720427966,0.00125746002671418,0.00962018234638684,3.43036312657303e-06,0.998999989405019,4.25318583185373,1352.16181897242,-5.49453803662212,-5.4431779706086,0.73768708676154,0.776927308819153,0,NA,TRUE
"corpcolombia",1,2,0,490,-0.000723695721896517,0.00126388877268731,0.00929830400660014,3.45212328400508e-06,0.998999996243646,4.24923956013279,1352.13502093288,-5.49034702421584,-5.43042694720006,0.736491538914263,0.776997680469382,0,NA,TRUE
"corpcolombia",2,1,0,490,-0.000708092549249514,0.00126914330432364,0.00870176659949218,4.10227634568644e-06,0.998999982516056,4.25431020424707,1352.25266546944,-5.49082720599772,-5.43090712898194,0.750091583697625,0.776624597020106,0,NA,TRUE
"corpcolombia",2,2,0,490,-0.000708099025165794,0.00126915336065322,0.00909656214270349,4.10235131739343e-06,0.998999999985891,4.25430332646502,1352.25266569213,-5.4867455742536,-5.41826548623556,0.750091362769223,0.776624711504145,0,NA,TRUE
"bolivar",1,1,0,490,2.91523957620137e-05,0.000437105741428765,0.434242285540802,1.15192215663357e-05,0.998999945485633,2.11401725388766,1334.76860502338,-5.42354532662603,-5.37218526061251,0.429676864108908,0.999997904898626,0,NA,TRUE
"bolivar",1,2,0,490,2.91523206128934e-05,0.000437832633745084,0.432203744620578,1.20786777307175e-05,0.998999947541812,2.11156932620507,1334.7433825404,-5.41936074506285,-5.35944066804707,0.426285416436143,0.99999775402464,0,NA,TRUE
"bolivar",2,1,0,490,2.91523447928923e-05,0.000439729734755691,0.409341611570521,1.79785834676103e-05,0.998999900449994,2.11617806846557,1335.45380346973,-5.42226042232542,-5.36234034530964,0.519873037446442,0.999998402597527,0,NA,TRUE
"bolivar",2,2,0,490,2.91518378491483e-05,0.000439717007444846,0.41100573073187,1.79791852399132e-05,0.998999893012252,2.11617715470944,1335.45377566952,-5.41817867620211,-5.34969858818407,0.519871769129933,0.999998402586264,0,NA,TRUE
"mineros",1,1,0,490,-0.00132762745309081,-0.00115840490592617,0.0685304018333932,1.70666425079447e-05,0.99899999398003,2.5953318237756,1282.98317225494,-5.21217621328549,-5.16081614727196,0.172293505805446,0.923765272758034,0,NA,TRUE
"mineros",1,2,0,490,-0.00132971751149536,-0.00116001990349774,0.0696870260339695,1.72386164436866e-05,0.998999982822941,2.58771552653935,1282.81534753951,-5.20740958179393,-5.14748950477815,0.170954355487099,0.920760533815653,0,NA,TRUE
"mineros",2,1,0,490,-0.00135628341882871,-0.00124488256693585,0.0564215270759616,3.17400248858312e-05,0.998999994306413,2.59762234718266,1284.80161619688,-5.2155168008036,-5.15559672378782,0.190299275073362,0.0980400749252052,0,NA,TRUE
"mineros",2,2,0,490,-0.00135567924099161,-0.00124382292559989,0.0584485331590072,3.18481917436678e-05,0.998999969876882,2.59809516557992,1284.8021890061,-5.21143750614734,-5.14295741812931,0.189918548788811,0.111475792784126,0,NA,TRUE
"nutresa",1,1,0,490,-0.000359724258162003,0.000947113460875316,0.0451070117457621,8.12216786994877e-06,0.998999998689025,2.12889779300803,1251.10577637367,-5.08206439336193,-5.0307043273484,0.944987101863215,0.999999961884249,0,NA,TRUE
"nutresa",1,2,0,490,-0.000361283608818235,0.000945986437225042,0.0473638956993243,8.32513344513641e-06,0.998999999619087,2.12812632904215,1251.11873673705,-5.07803566015123,-5.01811558313545,0.944165418127198,0.999999960915771,0,NA,TRUE
"nutresa",2,1,0,490,-0.000362616751353505,0.000939697997926587,0.0746015847549717,1.13553214817833e-05,0.998999998085405,2.12743318420271,1251.36261969528,-5.07903110079704,-5.01911102378126,0.951359573317475,0.999999961233583,0,NA,TRUE
"nutresa",2,2,0,490,-0.000362599021197337,0.000939685494507642,0.0772035793387791,1.13552968195907e-05,0.998999998976012,2.12743402888073,1251.36261670503,-5.0749494559389,-5.00646936792086,0.951361136883511,0.999999961234797,0,NA,TRUE
"terpel",1,1,0,490,-0.000547215626104211,0.000621569015421693,0.288530279955918,7.4336043037112e-05,0.960002467633477,2.10000020258092,1326.64224558244,-5.39037651258138,-5.33901644656785,0.00838660501333677,0.167600420031291,0,NA,FALSE
"terpel",1,2,0,490,-0.000553371317856411,0.000613951659911141,0.327032836944158,7.1859638614041e-05,0.961397212920865,2.10000036853427,1326.49324154901,-5.38568670020004,-5.32576662318426,0.00843659343615888,0.193793439395196,0,NA,FALSE
"terpel",2,1,0,490,-0.00055312284476796,0.000614873230595526,0.293715369841513,7.98218833455232e-05,0.957117754954227,2.10000007299143,1326.49503333097,-5.38569401359582,-5.32577393658003,0.0084790004973464,0.191956555901202,0,NA,FALSE
"terpel",2,2,0,490,-0.000553362126353855,0.00061395696395767,0.319811048056926,7.18770373122527e-05,0.961387880715254,2.10000037350961,1326.49324778851,-5.38160509301434,-5.31312500499631,0.00843663024097019,0.193788825311013,0,NA,FALSE
"terpel",1,1,1,490,-0.000445125493859845,0.000465978244914624,0.430631273943553,8.24477632590769e-05,0.955169340430954,2.10000024086943,1331.9862946275,-5.4081073250102,-5.34818724799442,0.410702834880003,0.306687859249996,0,NA,TRUE
"terpel",1,2,1,490,-0.000448425094003173,0.000460094808629756,0.440306533126238,7.74404993534763e-05,0.957986051317816,2.10002683341466,1331.80367259038,-5.40328029628726,-5.33480020826922,0.400546860245335,0.354777094198127,0,NA,TRUE
"terpel",2,1,1,490,-0.000401237314038568,0.00049161511000407,0.35173818634145,0.00140481903437006,0.998999948674342,2.10000009987424,1339.10214905661,-5.43306999614942,-5.36458990813139,0.709224466858932,0.924737671308656,0,NA,TRUE
"terpel",2,2,1,490,-0.000418303177677357,0.00048005248470535,0.371759243641466,0.000784997103623374,0.998999964225774,2.17883645233245,1340.01212852909,-5.43270256542485,-5.35566246640456,0.801264817624608,0.896054914419597,0,NA,TRUE
"promigas",1,1,0,490,-0.000486397040798159,-0.000191181180801397,0.748760552904361,0.000840834457222992,0.998999377553911,2.11978077861086,1310.84291686331,-5.32588945658496,-5.27452939057143,0.023156407171672,5.77272892930969e-05,0,NA,FALSE
