"Empresa","Modelo","Delta_Volumen","P_Volumen_Robusto","Delta_AIC","Delta_BIC","LR","P_LR","Evidencia_volumen"
"Bancolombia","AR(0)-GARCH(1,1)",0.00272332980722921,0.00685352117755422,-0.0135497949430023,-0.00498978394074889,8.63939952207102,0.00328969840754651,"Evidencia fuerte"
"Banco de Bogotá","AR(0)-GARCH(1,1)",0.000537477994516618,0.535521184128427,0.00316040034702958,0.011720411349283,0.45140382995578,0.50166905074577,"Sin evidencia estadística"
"Bolsa de Valores de Colombia","AR(0)-GARCH(1,1)",-0.000355215945723213,0.632333608900564,0.00320475998441339,0.0117647709866668,0.429667607637839,0.512152093181041,"Sin evidencia estadística"
"Cementos Argos","AR(0)-GARCH(2,1)",0.00208187263729622,0.000852715899845036,-0.013669313289971,-0.00510930228771578,8.69796351208561,0.00318565761767034,"Evidencia fuerte"
"Celsia S.A.","AR(1)-GARCH(1,1)",0.000621461391951515,0.295000179326788,0.00149143903456661,0.0100514500368218,1.26919487306259,0.259917775506146,"Sin evidencia estadística"
"Ecopetrol","AR(0)-GARCH(1,1)",-0.000346242540778076,0.764424488401916,0.00381057501364612,0.0123705860158996,0.132818243313523,0.715527698671097,"Sin evidencia estadística"
"Corporación Financiera de Colombia","AR(0)-GARCH(1,1)",0.00125746002671418,0.00962018234638684,-0.00826799613171847,0.000292014870534985,6.05131810454259,0.0138959198270814,"Evidencia parcial"
"Grupo Bolívar","AR(0)-GARCH(1,1)",0.000437105741428765,0.434242285540802,0.00194836856131175,0.0105083795635652,1.0452994049574,0.306592165412021,"Sin evidencia estadística"
"Mineros","AR(0)-GARCH(1,1)",-0.00115840490592617,0.0685304018333932,-0.00388999972893789,0.00467001127331557,3.90609986717982,0.0481111261690319,"Evidencia débil"
"Nutresa","AR(0)-GARCH(1,1)",0.000947113460875316,0.0451070117457621,-0.00257655409083313,0.00598345691142033,3.26251150450844,0.070880489098937,"Evidencia parcial"
"Terpel","AR(1)-GARCH(2,1)",0.00049161511000407,0.35173818634145,0.00618931326739247,0.0147493242696459,-1.03276350102215,NA,"Sin evidencia estadística"
"Promigas","AR(0)-GARCH(1,1)",-0.000191181180801397,0.748760552904361,0.0038700766167663,0.0124300876190198,0.103662457785049,0.747478037323775,"Sin evidencia estadística"
"Suramericana","AR(0)-GARCH(1,1)",0.00129147138264759,0.102745789998635,-0.00382982841231705,0.0047301825899364,3.87661592203585,0.0489631547734855,"Sin evidencia estadística"
