"Empresa","N","Fecha_inicial","Fecha_final"
"bancolombia",490,2021-07-02,2023-06-30
"bogota",490,2021-07-02,2023-06-30
"bvc",490,2021-07-02,2023-06-30
"ceargos",490,2021-07-02,2023-06-30
"celsia",490,2021-07-02,2023-06-30
"ecopetrol",490,2021-07-02,2023-06-30
"corpcolombia",490,2021-07-02,2023-06-30
"bolivar",490,2021-07-02,2023-06-30
"mineros",490,2021-07-02,2023-06-30
"nutresa",490,2021-07-02,2023-06-30
"terpel",490,2021-07-02,2023-06-30
"promigas",490,2021-07-02,2023-06-30
"suramericana",490,2021-07-02,2023-06-30
