"Empresa","Modelo","N","BIC","AIC","Persistencia","Shape_t","P_LB_Residuos","P_LB_Cuadrados","Estado_final"
"Bancolombia","AR(0)-GARCH(1,1)",490,-4.65420601619271,-4.70556608220623,0.980404528313678,4.46268699759166,0.954379294223006,0.86068183674553,"Adecuado"
"Banco de Bogotá","AR(0)-GARCH(1,1)",490,-4.87851774907438,-4.92987781508791,0.998999997696397,2.34769481961442,0.588009790258814,0.999999897466206,"Adecuado"
"Bolsa de Valores de Colombia","AR(0)-GARCH(1,1)",490,-5.48709432088171,-5.53845438689523,0.998999990202811,2.10000016994338,0.318314987985213,0.965306559615355,"Adecuado"
"Cementos Argos","AR(0)-GARCH(2,1)",490,-5.02473316069564,-5.08465323771142,0.998999752994547,5.83550674772321,0.347816926537159,0.70801395067082,"Adecuado"
"Celsia S.A.","AR(1)-GARCH(1,1)",490,-5.28409503019555,-5.34401510721133,0.998999945156572,2.85741771712576,0.238592220160051,0.982049633453307,"Adecuado"
"Ecopetrol","AR(0)-GARCH(1,1)",490,-4.60474337893511,-4.65610344494864,0.949826604333544,4.69211309811897,0.872955973936607,0.600075738964394,"Adecuado"
"Corporación Financiera de Colombia","AR(0)-GARCH(1,1)",490,-5.4431779706086,-5.49453803662212,0.998999989405019,4.25318583185373,0.73768708676154,0.776927308819153,"Adecuado"
"Grupo Bolívar","AR(0)-GARCH(1,1)",490,-5.37218526061251,-5.42354532662603,0.998999945485633,2.11401725388766,0.429676864108908,0.999997904898626,"Adecuado"
"Mineros","AR(0)-GARCH(1,1)",490,-5.16081614727196,-5.21217621328549,0.99899999398003,2.5953318237756,0.172293505805446,0.923765272758034,"Adecuado"
"Nutresa","AR(0)-GARCH(1,1)",490,-5.0307043273484,-5.08206439336193,0.998999998689025,2.12889779300803,0.944987101863215,0.999999961884249,"Adecuado"
"Terpel","AR(1)-GARCH(2,1)",490,-5.36458990813139,-5.43306999614942,0.998999948674342,2.10000009987424,0.709224466858932,0.924737671308656,"Adecuado"
"Promigas","AR(0)-GARCH(1,1)",490,-5.27452939057143,-5.32588945658496,0.998999377553911,2.11978077861086,0.023156407171672,5.77272892930969e-05,"Requiere cautela"
"Suramericana","AR(0)-GARCH(1,1)",490,-4.57918179408799,-4.63054186010152,0.999000007041331,2.59312094833642,0.980211781102613,0.999958550025019,"Adecuado"
