"Empresa","p","q","AR","Parametro","Estimacion","Modelo"
"Bancolombia",1,1,0,"omega",2.39073873617918e-05,"AR(0)-GARCH(1,1)"
"Bancolombia",1,1,0,"alpha1",0.136294228172249,"AR(0)-GARCH(1,1)"
"Bancolombia",1,1,0,"beta1",0.84411030014143,"AR(0)-GARCH(1,1)"
"Banco de Bogotá",1,1,0,"omega",7.23340238150099e-06,"AR(0)-GARCH(1,1)"
"Banco de Bogotá",1,1,0,"alpha1",0.0137392643754872,"AR(0)-GARCH(1,1)"
"Banco de Bogotá",1,1,0,"beta1",0.98526073332091,"AR(0)-GARCH(1,1)"
"Bolsa de Valores de Colombia",1,1,0,"omega",0.000450425855335275,"AR(0)-GARCH(1,1)"
"Bolsa de Valores de Colombia",1,1,0,"alpha1",0.453296662840379,"AR(0)-GARCH(1,1)"
"Bolsa de Valores de Colombia",1,1,0,"beta1",0.545703327362432,"AR(0)-GARCH(1,1)"
"Cementos Argos",2,1,0,"omega",1.20290951693911e-05,"AR(0)-GARCH(2,1)"
"Cementos Argos",2,1,0,"alpha1",0.225529637790991,"AR(0)-GARCH(2,1)"
"Cementos Argos",2,1,0,"beta1",8.87046752464483e-10,"AR(0)-GARCH(2,1)"
"Cementos Argos",2,1,0,"beta2",0.77347011431651,"AR(0)-GARCH(2,1)"
"Celsia S.A.",1,1,1,"omega",1.78103463606421e-05,"AR(1)-GARCH(1,1)"
"Celsia S.A.",1,1,1,"alpha1",0.131973990934224,"AR(1)-GARCH(1,1)"
"Celsia S.A.",1,1,1,"beta1",0.867025954222348,"AR(1)-GARCH(1,1)"
"Ecopetrol",1,1,0,"omega",3.70551187821261e-05,"AR(0)-GARCH(1,1)"
"Ecopetrol",1,1,0,"alpha1",0.10161907300396,"AR(0)-GARCH(1,1)"
"Ecopetrol",1,1,0,"beta1",0.848207531329584,"AR(0)-GARCH(1,1)"
"Corporación Financiera de Colombia",1,1,0,"omega",3.43036312657303e-06,"AR(0)-GARCH(1,1)"
"Corporación Financiera de Colombia",1,1,0,"alpha1",0.114430563844818,"AR(0)-GARCH(1,1)"
"Corporación Financiera de Colombia",1,1,0,"beta1",0.884569425560201,"AR(0)-GARCH(1,1)"
"Grupo Bolívar",1,1,0,"omega",1.15192215663357e-05,"AR(0)-GARCH(1,1)"
"Grupo Bolívar",1,1,0,"alpha1",0.0226255409419058,"AR(0)-GARCH(1,1)"
"Grupo Bolívar",1,1,0,"beta1",0.976374404543727,"AR(0)-GARCH(1,1)"
"Mineros",1,1,0,"omega",1.70666425079447e-05,"AR(0)-GARCH(1,1)"
"Mineros",1,1,0,"alpha1",0.110584326548552,"AR(0)-GARCH(1,1)"
"Mineros",1,1,0,"beta1",0.888415667431478,"AR(0)-GARCH(1,1)"
"Nutresa",1,1,0,"omega",8.12216786994877e-06,"AR(0)-GARCH(1,1)"
"Nutresa",1,1,0,"alpha1",0.0222219647389279,"AR(0)-GARCH(1,1)"
"Nutresa",1,1,0,"beta1",0.976778033950097,"AR(0)-GARCH(1,1)"
"Terpel",2,1,1,"omega",0.00140481903437006,"AR(1)-GARCH(2,1)"
"Terpel",2,1,1,"alpha1",0.998999875149154,"AR(1)-GARCH(2,1)"
"Terpel",2,1,1,"beta1",6.14931092234616e-08,"AR(1)-GARCH(2,1)"
"Terpel",2,1,1,"beta2",1.2032079369024e-08,"AR(1)-GARCH(2,1)"
"Promigas",1,1,0,"omega",0.000840834457222992,"AR(0)-GARCH(1,1)"
"Promigas",1,1,0,"alpha1",0.696323361871276,"AR(0)-GARCH(1,1)"
"Promigas",1,1,0,"beta1",0.302676015682635,"AR(0)-GARCH(1,1)"
"Suramericana",1,1,0,"omega",0.000265005474124787,"AR(0)-GARCH(1,1)"
"Suramericana",1,1,0,"alpha1",0.71708954969272,"AR(0)-GARCH(1,1)"
"Suramericana",1,1,0,"beta1",0.281910457348611,"AR(0)-GARCH(1,1)"
